PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justBody_Motion_2_4-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      5883	9	mm	100.00	1	      5883
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-20.95195	112.32902	-247.57138	247.47031	175.09467	-275.37549	-46.86275	156.26845	373.50351	194.67052	98.88204	318.30817	71.55247	599.66925	-380.47485	-19.41895	344.25305	-341.75772	136.39262	344.98978	-334.56689	-69.30926	422.92401	537.33020	78.87041	419.28021	546.24005	
2	0.010	-22.57763	112.37719	-247.43370	245.63129	174.56534	-274.86612	-48.11316	156.61818	373.67453	192.68327	98.45377	318.56290	70.56850	599.32562	-380.53983	-21.08949	344.39020	-341.83621	135.11967	344.76950	-334.35703	-70.54292	423.02338	537.55872	77.41858	419.43021	546.39240	
3	0.020	-25.09979	112.87206	-247.24348	244.23428	174.40309	-274.53549	-50.70170	157.04420	374.03436	191.10368	98.74145	319.29071	69.99873	599.15118	-380.40411	-22.21600	344.29675	-341.39908	133.65103	344.52100	-334.09955	-71.85197	423.54700	537.72516	76.12702	419.62543	546.61365	
4	0.030	-27.19611	113.20518	-246.91196	242.40782	173.79088	-274.18179	-52.50996	157.36977	374.18726	189.42018	98.90404	319.43869	68.89866	599.16669	-379.99368	-23.55200	344.49774	-341.27362	132.38423	344.39041	-333.97861	-73.23811	424.24042	538.05560	74.63679	419.88556	546.90790	
5	0.040	-29.29651	113.30363	-246.55624	240.71320	173.50218	-273.95807	-54.42342	157.41071	374.80084	187.32588	98.98591	319.66776	68.34569	599.33948	-379.82269	-24.83500	344.75299	-341.05045	130.84418	344.35773	-333.66232	-74.77109	424.44049	537.85718	73.55575	420.04532	547.00140	
6	0.050	-31.24659	113.47629	-246.20183	239.37672	172.86093	-273.86011	-56.91710	158.52394	374.79724	185.81694	99.60663	320.58350	67.66472	599.29785	-379.71924	-26.29597	344.78738	-340.80807	129.65768	344.07980	-333.39435	-75.91418	424.86209	538.10962	72.07869	420.20255	547.12823	
7	0.060	-33.51071	113.65717	-245.96867	237.55862	172.99110	-273.21811	-59.26984	158.68393	375.20059	183.85797	99.30984	320.59122	66.68714	599.08527	-379.79831	-27.74489	344.94873	-340.89157	128.24103	344.00214	-333.69586	-77.50128	425.26456	538.32159	70.59428	420.45303	547.41638	
8	0.070	-35.56767	113.61361	-245.60420	235.99088	172.03020	-273.28943	-61.47512	159.14696	375.13556	182.09668	98.99702	321.10913	65.40405	598.77234	-379.74896	-29.15359	345.03494	-340.75092	126.76051	343.51624	-333.06680	-78.71555	425.76691	538.27161	69.32551	420.45804	547.55890	
9	0.080	-37.66116	113.67949	-245.12953	234.13568	171.80769	-272.35471	-63.92973	159.17336	375.25763	180.25113	98.78675	321.63193	64.88509	598.48877	-379.51059	-30.41914	345.15350	-340.47412	125.53046	343.25497	-332.92337	-80.36947	425.76758	538.13513	67.94135	420.36691	547.79694	
10	0.090	-40.18838	113.84045	-245.24869	232.58888	171.15881	-273.10321	-66.07435	159.31000	375.47375	178.68143	98.51736	322.10815	64.09724	598.30688	-379.38898	-31.99692	345.04578	-340.12741	124.07347	342.88672	-332.65408	-81.37183	425.92078	538.53528	66.61622	419.97885	547.98273	
11	0.100	-42.24333	113.91869	-245.10500	230.57806	170.62601	-271.78329	-68.37887	159.10869	375.74127	176.60121	97.98602	322.22662	63.17415	598.02899	-379.04816	-33.28675	345.02637	-340.11230	122.65687	342.59677	-332.50284	-82.81602	425.83020	538.90356	65.38652	419.72861	548.40784	
12	0.110	-44.49950	113.72272	-244.82457	228.95314	170.12379	-271.57870	-70.19566	159.07300	375.84128	174.70949	97.46686	322.79410	62.13438	598.00385	-378.67426	-34.81726	345.15323	-340.16263	121.36394	342.26108	-331.98981	-84.17951	425.95685	539.01788	63.87033	419.31201	548.23334	
13	0.120	-46.65250	113.84637	-244.68718	227.13466	169.51889	-271.24268	-72.54208	158.96654	375.92532	172.96495	97.35145	323.19638	61.43683	597.93793	-378.45010	-36.03431	344.95633	-339.81409	119.91554	342.05804	-331.74112	-85.56995	425.85699	539.05920	62.28633	419.15161	548.41992	
14	0.130	-49.05047	114.18502	-244.62410	225.78311	169.15198	-271.07394	-74.82388	159.11259	375.98962	171.36458	97.43160	323.37619	60.19572	597.97400	-378.34647	-37.56236	345.29138	-339.62134	118.57012	342.03113	-331.64597	-87.19268	425.91479	539.12842	61.12143	419.03824	548.65363	
15	0.140	-50.97933	114.36728	-244.32614	224.13391	169.19054	-270.65598	-77.35155	159.37646	376.06815	169.59477	97.22071	323.79956	59.41312	597.98492	-378.14926	-38.81335	345.51349	-339.38101	117.08411	341.88226	-331.40317	-88.27559	426.43213	539.59540	59.44760	419.02731	548.84308	
