PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justArm_Motion_1_1-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-696.98792	-3.94264	-575.58270	717.89771	4.91772	-491.20590	-767.89380	3.90530	643.68048	801.25055	10.70659	647.75140	12.46567	623.13153	-982.76654	
2	0.010	-696.96802	-3.93329	-575.59784	717.92108	4.97068	-491.21042	-768.09460	4.23786	643.53583	801.31323	10.79584	647.77448	12.43661	623.14697	-982.75360	
3	0.020	-696.97723	-3.91663	-575.61261	717.94708	4.94356	-491.26062	-768.08997	4.27803	643.52032	801.24634	10.73082	647.73651	12.39036	623.15009	-982.81763	
4	0.030	-696.97638	-3.90119	-575.59357	717.92078	4.95971	-491.21637	-768.06909	4.31670	643.58636	801.24304	10.71981	647.74982	12.43411	623.15948	-982.75232	
5	0.040	-696.99066	-3.90958	-575.62726	717.87811	4.96137	-491.25143	-768.10474	4.35829	643.57208	801.13861	10.66356	647.75946	12.47259	623.15613	-982.78027	
6	0.050	-696.98547	-3.92221	-575.61694	717.84943	4.94746	-491.20590	-768.10748	4.36213	643.59387	801.17725	10.71378	647.77466	12.48785	623.12823	-982.73212	
7	0.060	-696.98956	-3.88479	-575.62598	717.89563	4.94411	-491.20013	-768.16748	4.43873	643.58832	801.29199	10.77705	647.76978	12.43270	623.14301	-982.79559	
8	0.070	-696.96442	-3.91735	-575.63318	717.95013	4.92797	-491.19470	-768.14612	4.39886	643.56946	801.27448	10.75118	647.76874	12.44959	623.11542	-982.77734	
9	0.080	-697.00421	-3.89299	-575.59857	717.93024	4.96120	-491.21085	-768.09747	4.36627	643.54779	801.34552	10.76755	647.74689	12.45326	623.13678	-982.78259	
10	0.090	-696.98694	-3.93182	-575.59924	717.90497	5.00270	-491.18039	-768.09497	4.37999	643.58240	801.30194	10.73807	647.75574	12.48625	623.14166	-982.76245	
11	0.100	-696.98389	-3.92703	-575.58026	717.86462	4.92236	-491.15848	-768.08600	4.36206	643.58575	801.21838	10.73792	647.76105	12.42857	623.15778	-982.79242	
12	0.110	-697.00293	-3.89831	-575.58478	717.87836	4.93631	-491.25690	-768.12286	4.35759	643.59796	801.22919	10.74029	647.75244	12.42256	623.14447	-982.77435	
13	0.120	-696.98444	-3.88566	-575.59528	717.88715	4.92610	-491.22098	-768.09528	4.35355	643.56714	801.21979	10.75517	647.77838	12.42233	623.16376	-982.74384	
14	0.130	-696.97198	-3.90799	-575.61792	717.84644	4.96675	-491.27292	-768.10840	4.37473	643.56635	801.18433	10.70211	647.74292	12.44798	623.13629	-982.75269	
15	0.140	-696.94653	-3.92986	-575.58356	717.88654	4.95654	-491.21140	-768.10181	4.34489	643.60376	801.23163	10.73577	647.78021	12.45683	623.11560	-982.76514	
16	0.150	-696.99530	-3.93568	-575.59180	717.91711	4.92188	-491.18182	-768.07245	4.33987	643.58472	801.26404	10.72759	647.75122	12.44722	623.12927	-982.73938	
17	0.160	-696.96716	-3.97425	-575.59296	717.92468	4.95359	-491.23029	-768.09833	4.32696	643.63586	801.27319	10.81500	647.78375	12.41463	623.14746	-982.74774	
18	0.170	-696.94751	-3.93100	-575.61169	717.88898	4.92762	-491.22070	-768.10620	4.34906	643.57892	801.23700	10.71525	647.76221	12.44210	623.13776	-982.74152	
19	0.180	-696.97687	-3.93153	-575.62201	717.87946	4.99209	-491.22189	-768.06659	4.32532	643.56860	801.27728	10.76704	647.76666	12.36924	623.15118	-982.80188	
20	0.190	-696.96973	-3.90384	-575.61456	717.88922	4.96579	-491.24631	-768.11926	4.43108	643.57190	801.20093	10.76703	647.78772	12.41802	623.15271	-982.74567	
21	0.200	-696.98297	-3.91707	-575.62543	717.90833	4.90939	-491.18292	-768.13416	4.39618	643.55743	801.22766	10.74308	647.76263	12.40068	623.13116	-982.76550	
22	0.210	-696.96283	-3.92325	-575.62115	717.90015	4.93220	-491.20612	-768.09674	4.36580	643.57983	801.19226	10.72351	647.78845	12.48591	623.12482	-982.73431	
23	0.220	-696.99768	-3.90346	-575.58081	717.88275	4.97356	-491.24365	-768.13593	4.39044	643.60248	801.24921	10.75905	647.77893	12.44448	623.12933	-982.77258	
24	0.230	-696.96887	-3.91133	-575.60852	717.90344	4.92563	-491.23990	-768.11725	4.35425	643.61560	801.28735	10.79814	647.77545	12.42936	623.11725	-982.75635	
25	0.240	-696.98486	-3.91133	-575.60724	717.97510	4.91010	-491.16852	-768.09808	4.40353	643.58325	801.32458	10.77387	647.72687	12.48407	623.14471	-982.77582	
26	0.250	-696.96570	-3.89276	-575.61908	717.89410	4.94318	-491.20731	-768.08411	4.36405	643.56512	801.24194	10.79067	647.76123	12.37438	623.16968	-982.76758	
27	0.260	-697.00757	-3.86598	-575.60583	717.90631	4.97057	-491.26303	-768.09491	4.37141	643.54803	801.27167	10.75534	647.75470	12.48831	623.13776	-982.76306	
28	0.270	-696.98688	-3.89605	-575.62622	717.88068	4.95139	-491.21451	-768.08051	4.38694	643.56860	801.22260	10.73381	647.76703	12.43050	623.15308	-982.75690	
29	0.280	-696.97559	-3.92900	-575.61780	717.89825	4.93020	-491.21909	-768.15277	4.38349	643.56354	801.22876	10.70101	647.74329	12.44248	623.15491	-982.79718	
30	0.290	-696.97089	-3.89961	-575.62708	717.89618	4.93747	-491.19452	-768.12256	4.37006	643.55975	801.29486	10.78306	647.76794	12.52343	623.13690	-982.74127	
31	0.300	-696.95367	-3.92887	-575.59296	717.90906	4.96452	-491.21964	-768.10535	4.38248	643.54797	801.33759	10.73830	647.75287	12.47499	623.14032	-982.78894	
32	0.310	-696.98267	-3.89067	-575.60632	717.87280	4.94254	-491.17398	-768.05939	4.28580	643.61444	801.18927	10.68660	647.75037	12.43748	623.13959	-982.78070	
33	0.320	-696.97998	-3.94992	-575.60114	717.90729	4.98442	-491.21552	-768.07422	4.35296	643.59406	801.25659	10.74089	647.77094	12.45579	623.13971	-982.77350	
34	0.330	-696.97253	-3.91412	-575.58881	717.87451	4.93184	-491.29718	-768.09717	4.36572	643.58771	801.21881	10.73664	647.75830	12.43182	623.18579	-982.76721	
