PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justBody_Motion_2_2-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      5046	9	mm	100.00	1	      5046
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

20	0.190	-271.78824	24.11508	-174.64473	223.03221	23.81925	-213.93362	-226.43620	23.03366	418.91556	274.51108	29.65830	385.49225	-17.96362	666.35767	-348.62549	-98.53242	408.12326	-305.36203	56.99513	412.40466	-315.28693	-51.66012	468.81305	574.89136	96.35782	469.11880	567.56384	
21	0.200	-271.55179	24.50372	-174.99855	223.06366	23.72764	-214.01808	-226.70439	23.20575	418.35025	274.43353	29.57812	385.30386	-17.84170	670.30377	-348.40259	-98.24843	411.65079	-305.51028	57.22410	416.10770	-315.60635	-52.20203	471.67041	574.96136	96.04336	471.93414	567.64337	
22	0.210	-271.98068	24.32145	-174.86269	223.00183	23.60829	-214.21266	-226.89601	23.34763	418.12610	274.28421	29.40220	385.02203	-17.56102	674.25635	-348.03256	-98.02076	415.89185	-305.44675	57.52005	420.18021	-315.41400	-52.27226	474.58020	575.16370	95.69474	474.99097	567.85419	
23	0.220	-272.34125	24.50197	-175.18123	223.00897	23.57094	-214.33275	-226.98370	23.52510	417.95224	274.42184	29.45386	384.74106	-17.21127	678.44305	-347.80890	-97.96079	420.16025	-305.74820	57.63100	424.50821	-315.35913	-52.48006	477.65448	575.28510	96.00341	478.12927	568.49573	
24	0.230	-272.09384	23.76477	-175.23195	223.19579	23.57602	-214.35675	-227.10724	23.50147	417.83206	274.41763	29.38825	384.58960	-16.77091	682.67761	-347.38373	-97.50030	424.40955	-305.58902	58.11731	428.58823	-315.31235	-52.82027	480.89981	575.21802	95.20476	481.33893	568.19073	
25	0.240	-272.20480	23.60601	-175.61023	223.11292	23.31679	-214.80843	-227.06052	23.42717	417.74805	274.51276	29.45726	384.33685	-16.71697	687.23694	-347.11255	-97.31655	428.68405	-305.71835	58.28889	433.12311	-315.25995	-53.20371	484.19193	575.34430	95.11079	484.55927	568.30817	
26	0.250	-272.21274	23.38209	-175.84956	223.22287	23.19364	-215.18098	-227.08093	23.25468	417.50854	274.65100	29.43264	384.12244	-16.43713	691.56934	-346.59891	-97.08489	433.08139	-305.77808	58.35075	437.64191	-315.15225	-53.54401	487.55627	575.48889	94.44027	488.06900	568.56927	
27	0.260	-272.15112	23.27632	-176.08466	223.20540	23.17066	-215.42290	-227.14200	23.06924	417.30090	274.51703	29.36395	384.05594	-16.21623	696.38525	-346.17847	-96.90027	437.80338	-305.88388	58.68953	442.25980	-315.05759	-53.64859	491.09006	575.50336	94.42074	491.58966	568.61859	
28	0.270	-272.28012	23.28843	-176.26672	223.36354	23.15661	-215.70602	-227.23131	23.08646	417.19812	274.74667	29.41378	384.09811	-15.86031	701.11945	-345.86325	-96.89861	442.61420	-305.66418	58.80366	447.16885	-315.00296	-53.72405	494.74738	575.55164	94.08630	495.24673	568.82953	
29	0.280	-272.44223	23.20729	-176.70096	223.41301	23.10158	-216.02338	-227.39140	23.16427	417.04807	275.11292	29.47018	384.06073	-15.70915	706.04425	-345.43729	-96.61243	447.53494	-305.54169	59.09879	452.06122	-314.91537	-54.00139	498.44629	575.68744	94.48734	499.07559	569.34576	
30	0.290	-272.49045	23.24623	-176.87746	223.39201	23.02475	-216.21480	-227.57224	23.32852	416.69495	275.08575	29.41349	383.82367	-15.69127	711.38080	-345.18060	-96.85346	452.72784	-306.19177	59.23054	457.01746	-314.91870	-54.16483	502.32703	575.79089	93.83222	502.80899	569.09479	
31	0.300	-272.65012	23.24727	-177.13416	223.56023	22.98226	-216.33888	-227.47054	23.20499	416.37280	275.14594	29.24101	383.37222	-15.58267	716.07886	-344.72067	-96.45490	457.26645	-305.76398	59.47437	462.04984	-314.94125	-54.40102	506.04721	575.82135	93.60349	506.62244	569.16614	
32	0.310	-272.77368	23.12502	-177.55040	223.43298	22.90122	-216.51682	-227.54097	23.16614	416.15015	275.08414	29.22699	383.10898	-15.83943	721.12494	-344.48026	-96.17760	462.15219	-305.63565	59.49840	466.94962	-314.83197	-54.77068	510.00064	575.99017	93.51588	510.49091	569.30194	
33	0.320	-272.93753	23.16898	-177.78630	223.34647	22.74579	-216.71646	-227.56470	23.16116	415.96188	274.94321	29.05343	382.83777	-15.48958	726.20453	-344.20865	-96.18850	467.24451	-305.67419	59.46101	471.86108	-314.71960	-54.66735	513.88354	576.05786	93.33702	514.45874	569.43610	
34	0.330	-272.99963	23.14907	-177.96016	223.46216	22.65717	-216.96245	-227.52040	23.27979	415.69626	275.19809	29.20031	382.65408	-15.39497	731.16650	-343.80573	-96.22820	472.33353	-305.90784	59.60949	476.85516	-314.49451	-54.97839	517.83191	576.02972	93.30816	518.47803	569.41083	
35	0.340	-273.17679	23.37191	-178.09871	223.43979	22.57588	-217.40111	-227.65927	23.25486	415.56094	275.29083	29.16126	382.52258	-15.38851	736.38605	-343.46997	-96.22679	477.16064	-305.70599	59.60765	482.17578	-314.66306	-54.83754	521.73322	576.01184	93.30486	522.46930	569.40631	
36	0.350	-273.21677	23.24272	-178.40334	223.55470	22.51787	-217.76128	-227.66612	23.06905	415.36508	275.31244	29.17373	382.41342	-15.51931	741.16394	-343.03873	-96.17146	482.09146	-305.77017	59.71788	487.29956	-314.75781	-54.87222	525.68781	576.28949	93.24094	526.40594	569.77472	
37	0.360	-273.08578	22.79199	-178.79057	223.61159	22.51781	-218.11766	-227.63831	22.79890	415.10468	275.33316	29.16453	382.22864	-15.68570	746.14899	-342.67401	-96.13033	486.99478	-305.80331	59.88202	491.96967	-314.62857	-55.10159	529.38550	576.30444	92.84219	530.22424	569.75269	
38	0.370	-273.23132	22.71694	-179.11427	223.62628	22.50179	-218.35078	-227.63570	22.75578	414.97144	275.06827	28.89640	381.78796	-15.83115	750.98730	-342.62851	-96.07849	491.64856	-305.77258	59.86446	496.77203	-314.71906	-55.02578	533.13922	576.34882	93.04339	533.97736	569.75500	
39	0.380	-273.26575	22.73633	-179.27451	223.68851	22.48225	-218.62814	-227.79198	22.81578	414.73727	275.12265	28.76134	381.47714	-15.64513	755.60077	-342.37015	-96.60718	496.76596	-306.38437	59.86972	501.35648	-314.69290	-54.85853	536.86145	576.39276	92.91901	537.60150	569.87085	
40	0.390	-273.40518	22.86054	-179.63751	223.83308	22.59698	-218.82098	-227.82582	22.89828	414.43948	275.30142	28.67238	381.23111	-15.68939	760.34631	-342.06335	-96.05468	501.11612	-305.53839	59.91403	506.09735	-314.36865	-54.96433	540.43274	576.44214	93.12141	541.32220	569.84991	
41	0.400	-273.47665	22.92246	-179.85289	223.82588	22.56312	-219.11903	-227.75940	22.90649	414.18988	275.39432	28.73024	381.09988	-15.66610	764.85175	-341.62842	-96.34048	505.59610	-305.67160	59.92913	510.29370	-314.28824	-54.95972	544.01758	576.52173	93.07862	544.95355	569.97626	
42	0.410	-273.50272	22.85234	-180.20587	223.87463	22.68067	-219.30304	-227.70383	22.78291	413.93668	275.44266	28.89754	380.88855	-15.64218	769.12946	-341.26733	-96.41698	509.81430	-305.70389	59.24901	514.72821	-314.75336	-55.03768	547.41864	576.42645	93.14803	548.13367	569.99945	
43	0.420	-273.56717	22.64215	-180.51216	223.85054	22.72881	-219.51648	-227.81297	22.56332	413.70837	275.46988	28.84853	380.68616	-15.66697	773.21161	-341.09985	-96.65553	513.98267	-305.92493	59.71858	518.90765	-314.71005	-55.11656	550.28638	575.75507	92.98219	551.53186	569.68738	
44	0.430	-273.57672	22.50595	-180.76645	223.92517	22.89681	-219.55881	-227.86913	22.50601	413.40649	275.39230	28.75382	380.45090	-15.96327	777.28534	-340.93539	-96.59624	518.06238	-305.68420	59.64983	522.89911	-314.53433	-55.13458	553.18378	575.90125	93.16637	554.56226	569.80072	
45	0.440	-273.65164	22.51857	-180.94484	223.85371	23.11286	-219.64270	-227.86897	22.53978	413.27835	275.40002	28.67920	380.13779	-16.15718	781.29358	-340.90164	-96.61941	521.76312	-305.76892	59.65953	526.47131	-314.38422	-54.75082	556.66516	576.70001	93.21907	557.35687	569.66772	
46	0.450	-273.71747	22.53019	-181.12329	224.02585	23.12902	-219.74445	-227.89577	22.56112	413.26517	275.35687	28.55110	379.77982	-16.33266	785.00824	-340.69955	-96.91682	525.40643	-305.72897	59.33765	530.54132	-315.14362	-54.92587	559.06262	575.94562	93.21362	560.25055	569.57721	
47	0.460	-273.72922	22.48614	-181.24333	225.11562	24.02122	-219.44221	-227.94855	22.51192	413.19965	275.38028	28.50988	379.59937	-16.03356	788.35205	-340.14346	-97.01924	528.97357	-305.87836	59.08645	534.26465	-315.28345	-54.86222	561.55090	575.97656	93.20530	562.82532	569.69543	
48	0.470	-273.72189	22.33502	-181.37178	224.65981	23.10359	-220.43005	-227.86536	22.42047	413.16779	275.34766	28.38323	379.55115	-16.21879	791.37628	-339.98389	-96.97648	531.97119	-305.78928	59.13490	537.39539	-315.33627	-54.92322	563.86731	575.95691	93.17557	565.19257	569.68164	
49	0.480	-273.80508	22.24802	-181.57150	224.78084	23.39260	-220.55482	-227.85326	22.39435	413.04874	275.40775	28.50415	379.47684	-16.33784	794.52985	-339.89816	-97.00938	535.05487	-305.79761	58.92626	540.53320	-315.72897	-54.76139	566.01868	575.97327	93.21434	567.39581	569.65021	
50	0.490	-273.90393	22.32585	-181.83459	224.80640	23.41004	-220.79030	-227.97440	22.47121	412.85327	275.48019	28.58112	379.38052	-16.35434	797.37610	-339.84668	-97.01915	537.87549	-305.84247	58.21584	543.16650	-315.45273	-54.73177	567.96527	575.95563	93.13220	569.49316	569.54315	
51	0.500	-274.04013	22.42257	-181.99950	224.16502	22.56007	-221.35123	-228.01282	22.54910	412.71719	275.52960	28.59669	379.28021	-16.48399	800.00348	-339.70319	-97.36441	540.48419	-305.98328	57.91372	545.77515	-315.72736	-54.58528	569.90875	575.90100	93.39685	571.17865	569.47113	
52	0.510	-274.09229	22.43252	-182.15535	224.03543	22.80740	-221.56134	-228.07672	22.59975	412.56769	275.51953	28.63501	379.03397	-16.44208	802.46484	-339.55811	-97.74021	542.90393	-306.06107	58.42960	548.09705	-315.60953	-54.54855	571.87402	575.82806	93.58533	572.87012	569.35809	
53	0.520	-274.09979	22.41001	-182.28365	224.24382	22.53031	-221.65866	-228.11916	22.58776	412.46054	275.45947	28.65853	378.86044	-16.64086	804.56873	-339.39517	-97.73711	544.98517	-306.01883	58.52164	550.25751	-315.70670	-54.66423	573.14838	575.75775	93.37972	574.37286	569.15881	
54	0.530	-274.09631	22.31538	-182.38811	224.33740	22.50243	-221.86467	-228.14406	22.53782	412.37125	275.58621	28.65831	378.78284	-16.90808	806.55450	-339.33224	-97.60508	546.90167	-306.00339	58.42146	552.16394	-315.84244	-54.42011	574.41418	575.75684	93.75624	575.41260	569.22894	
55	0.540	-274.10663	22.20823	-182.53430	224.42152	22.54464	-221.86267	-228.07002	22.50639	412.33298	275.48145	28.55604	378.68509	-16.91324	808.26593	-339.16556	-97.74051	548.56635	-306.21649	58.30041	553.82227	-315.91394	-54.47471	575.44983	575.61511	93.53753	576.66553	569.03918	
56	0.550	-274.16949	22.31098	-182.60182	224.37935	22.91358	-221.71004	-228.09706	22.54975	412.25513	275.54736	28.58931	378.59030	-17.28965	809.82800	-339.19315	-97.96789	550.13544	-306.36624	57.93527	555.39374	-316.27609	-54.38265	576.42480	575.54834	93.92255	577.42175	569.02942	
57	0.560	-274.21060	22.33333	-182.62460	224.31227	22.39193	-222.10695	-228.13144	22.63836	412.21362	275.53629	28.58700	378.42078	-17.21170	811.07733	-338.84760	-98.23387	551.44562	-306.51398	57.90259	556.65747	-316.20419	-54.18242	577.08478	575.62787	93.90051	578.14484	568.77570	
58	0.570	-274.25894	22.31218	-182.65211	224.37709	22.43116	-222.04893	-228.11981	22.67396	412.18698	275.53601	28.50325	378.29813	-17.45920	812.10742	-338.92822	-98.16568	552.52771	-306.71478	57.71831	557.76807	-316.33777	-54.06855	577.52710	575.49872	93.75831	578.72430	568.49219	
59	0.580	-274.22754	22.22948	-182.70828	224.32973	22.52380	-222.04160	-228.08636	22.56803	412.16104	275.39612	28.41573	378.15421	-17.48860	812.98523	-338.86578	-98.24736	553.29456	-306.62939	57.59329	558.52563	-316.45010	-53.97386	577.80096	575.38910	94.02881	578.94849	568.54309	
60	0.590	-274.27274	22.13696	-182.76610	224.23595	22.41862	-222.12274	-228.06230	22.45812	412.13721	275.37527	28.24903	378.07068	-17.53075	813.62952	-338.68164	-98.41689	553.87811	-306.88422	57.62991	559.04730	-316.61926	-53.90017	577.84369	575.31683	94.05499	579.01617	568.49091	
61	0.600	-274.29367	22.06565	-182.81639	224.25252	22.37071	-222.13687	-228.09343	22.32263	412.12701	275.40396	28.19778	378.04193	-17.57890	813.92139	-338.70093	-98.37937	554.20111	-306.85364	57.60246	559.63080	-316.60641	-53.79485	577.85040	575.20355	94.11172	579.08582	568.42773	
62	0.610	-274.30264	22.13621	-182.84581	224.29260	22.38766	-222.13457	-228.00536	22.42738	412.08359	275.46994	28.23773	378.01169	-17.77756	814.07849	-338.75568	-98.36993	554.36450	-306.97910	57.47632	559.80701	-316.72003	-53.58913	577.85486	575.03546	94.28129	579.07233	568.34937	
63	0.620	-274.34384	22.09708	-182.78297	224.22649	22.34168	-222.15720	-228.10774	22.45499	412.12350	275.41461	28.16405	377.98660	-17.91742	814.10889	-338.76703	-98.49049	554.37042	-307.01584	57.28640	559.73248	-316.83258	-53.51534	577.77631	574.88196	94.29948	579.02820	568.25122	
64	0.630	-274.33157	21.95141	-182.77068	224.24178	22.31294	-222.18864	-228.03310	22.46905	412.16568	275.41800	28.11125	377.97778	-17.94110	813.96490	-338.87775	-98.51701	554.02795	-307.08572	57.10368	559.43152	-316.97385	-53.43972	577.70343	574.76117	94.32695	579.03467	568.11823	
