PathFileType	4	(X/Y/Z)	D:\TRACE\spotREDO_2-26-24\spot_justBody_Motion_3_4-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-261.49500	50.78162	-121.70301	212.28838	50.52872	-125.75352	-240.26019	-57.19929	481.64716	232.06696	-51.45005	479.86139	-19.19156	857.72296	-226.45012	-102.62638	597.50330	-238.24727	53.55939	602.00452	-243.19176	-79.71769	480.85242	637.73969	61.88319	485.22247	635.63184	
2	0.010	-261.51575	50.80493	-121.70237	212.24088	50.48063	-125.70410	-240.38420	-57.10939	481.64069	232.04718	-51.40678	479.90640	-19.31634	857.93579	-226.21742	-102.60639	597.76288	-238.12064	53.67487	602.27295	-242.94730	-79.43747	480.52863	637.89136	61.97873	485.00403	635.73462	
3	0.020	-261.59921	51.01891	-121.67764	212.26521	50.46057	-125.81686	-240.45900	-57.00760	481.65622	232.02292	-51.32898	479.88831	-19.10545	858.13605	-225.91327	-102.64003	598.01251	-237.97742	53.69350	602.59943	-242.77303	-79.22851	480.21860	638.01361	62.19081	484.52756	635.80261	
4	0.030	-261.61685	50.97700	-121.65522	212.22778	50.44882	-125.80326	-240.57195	-56.84481	481.62094	232.01968	-51.30918	479.93735	-18.79035	858.33728	-225.47827	-102.53755	598.10345	-237.72841	53.68303	602.86584	-242.56364	-79.22211	479.74820	638.04041	62.26790	484.09708	635.87048	
5	0.040	-261.60162	50.88931	-121.65617	212.39478	50.49665	-125.80294	-240.34531	-56.97023	481.64838	232.05646	-51.36972	479.95654	-18.60892	858.40253	-225.03235	-102.46056	598.26624	-237.39447	53.68190	603.04218	-242.40596	-79.12289	479.20609	638.26556	62.63943	483.36349	636.01935	
6	0.050	-261.50397	50.74522	-121.67072	212.14423	50.46323	-125.85804	-240.37982	-56.95444	481.68607	232.04568	-51.38655	480.02609	-18.85160	858.53912	-224.59157	-102.41650	598.33136	-237.18224	53.69944	603.17163	-242.25279	-79.21049	478.39481	638.28772	62.40496	482.81567	636.16498	
7	0.060	-261.55463	50.75676	-121.60576	212.35493	50.42960	-125.77974	-240.27936	-56.95033	481.66232	232.05685	-51.43718	480.12158	-18.92749	858.74384	-224.13748	-102.37118	598.51483	-236.97690	53.80856	603.32410	-242.02975	-78.95382	477.84583	638.33405	62.63901	482.15106	636.29871	
8	0.070	-261.58356	50.83116	-121.58662	212.21776	50.37600	-125.84168	-240.28337	-56.89376	481.73047	232.07835	-51.39751	480.17096	-18.77988	858.94373	-223.83583	-102.36458	598.63672	-236.76637	53.83202	603.48456	-241.84116	-78.70444	477.17322	638.52240	62.91826	481.38110	636.26178	
9	0.080	-261.64157	50.88312	-121.53340	212.36115	50.45875	-125.76701	-240.31516	-56.78811	481.75479	232.07362	-51.39393	480.20816	-18.58335	859.06915	-223.37686	-102.30880	598.80774	-236.63510	53.76760	603.60651	-241.68002	-78.49848	476.45227	638.56732	62.78793	480.59262	636.30908	
10	0.090	-261.63129	50.85712	-121.49670	212.31134	50.47536	-125.80471	-240.27135	-56.84367	481.75223	232.04143	-51.39648	480.23718	-18.50193	859.12903	-222.72850	-102.26662	599.07922	-236.46599	53.63611	603.75610	-241.47163	-78.38789	475.46671	638.56561	62.72117	479.80167	636.51520	
11	0.100	-261.55209	50.75443	-121.53845	212.21823	50.34752	-125.84547	-240.20964	-56.87835	481.83646	232.03905	-51.46717	480.30432	-18.57061	859.29553	-222.08434	-102.23219	599.34888	-236.31215	53.57652	603.93628	-241.32213	-78.17722	474.57278	638.61603	63.40464	478.84625	636.39337	
12	0.110	-261.56494	50.72750	-121.54228	212.05791	50.50536	-125.89809	-240.25250	-56.87299	481.92502	232.05931	-51.50690	480.35590	-18.61202	859.48688	-221.77934	-102.17246	599.49664	-235.98933	53.64840	604.12378	-241.18013	-78.01521	473.57742	638.70679	63.56321	477.70767	636.49695	
13	0.120	-261.58289	50.77848	-121.52916	212.31396	50.44956	-125.77595	-240.22978	-56.89298	481.96799	232.07324	-51.59575	480.45370	-18.75519	859.70612	-221.13316	-102.22250	599.67499	-235.73965	53.63430	604.30261	-240.92761	-77.75277	472.51636	638.65887	63.69418	476.87155	636.54370	
14	0.130	-261.64847	50.89098	-121.48473	212.28432	50.44129	-125.79441	-240.22412	-56.88962	482.06741	232.02299	-51.63602	480.50909	-18.53587	859.83069	-220.29973	-102.32269	599.95959	-235.48233	53.72029	604.51385	-240.73622	-77.74063	471.66095	638.78619	63.75130	475.70630	636.41821	
