__time,/mcu/command/manual_twist/angular/x,/mcu/command/manual_twist/angular/y,/mcu/command/manual_twist/angular/z,/mcu/command/manual_twist/linear/x,/mcu/command/manual_twist/linear/y,/mcu/command/manual_twist/linear/z,/mcu/state/jointURDF/0/effort,/mcu/state/jointURDF/0/position,/mcu/state/jointURDF/0/velocity,/mcu/state/jointURDF/1/effort,/mcu/state/jointURDF/1/position,/mcu/state/jointURDF/1/velocity,/mcu/state/jointURDF/10/effort,/mcu/state/jointURDF/10/position,/mcu/state/jointURDF/10/velocity,/mcu/state/jointURDF/11/effort,/mcu/state/jointURDF/11/position,/mcu/state/jointURDF/11/velocity,/mcu/state/jointURDF/2/effort,/mcu/state/jointURDF/2/position,/mcu/state/jointURDF/2/velocity,/mcu/state/jointURDF/3/effort,/mcu/state/jointURDF/3/position,/mcu/state/jointURDF/3/velocity,/mcu/state/jointURDF/4/effort,/mcu/state/jointURDF/4/position,/mcu/state/jointURDF/4/velocity,/mcu/state/jointURDF/5/effort,/mcu/state/jointURDF/5/position,/mcu/state/jointURDF/5/velocity,/mcu/state/jointURDF/6/effort,/mcu/state/jointURDF/6/position,/mcu/state/jointURDF/6/velocity,/mcu/state/jointURDF/7/effort,/mcu/state/jointURDF/7/position,/mcu/state/jointURDF/7/velocity,/mcu/state/jointURDF/8/effort,/mcu/state/jointURDF/8/position,/mcu/state/jointURDF/8/velocity,/mcu/state/jointURDF/9/effort,/mcu/state/jointURDF/9/position,/mcu/state/jointURDF/9/velocity,/mcu/state/jointURDF/header/stamp,/mcu/state/toe_array/header/stamp,/mcu/state/toe_array/toes.0/contact,/mcu/state/toe_array/toes.0/id,/mcu/state/toe_array/toes.0/position/x,/mcu/state/toe_array/toes.0/position/y,/mcu/state/toe_array/toes.0/position/z,/mcu/state/toe_array/toes.0/sphase,/mcu/state/toe_array/toes.0/valid,/mcu/state/toe_array/toes.1/contact,/mcu/state/toe_array/toes.1/id,/mcu/state/toe_array/toes.1/position/x,/mcu/state/toe_array/toes.1/position/y,/mcu/state/toe_array/toes.1/position/z,/mcu/state/toe_array/toes.1/sphase,/mcu/state/toe_array/toes.1/valid,/mcu/state/toe_array/toes.2/contact,/mcu/state/toe_array/toes.2/id,/mcu/state/toe_array/toes.2/position/x,/mcu/state/toe_array/toes.2/position/y,/mcu/state/toe_array/toes.2/position/z,/mcu/state/toe_array/toes.2/sphase,/mcu/state/toe_array/toes.2/valid,/mcu/state/toe_array/toes.3/contact,/mcu/state/toe_array/toes.3/id,/mcu/state/toe_array/toes.3/position/x,/mcu/state/toe_array/toes.3/position/y,/mcu/state/toe_array/toes.3/position/z,/mcu/state/toe_array/toes.3/sphase,/mcu/state/toe_array/toes.3/valid
1680726316.251082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726316.238649,1.000000,0.000000,0.340115,0.171629,-0.509874,0.962730,1.000000,1.000000,1.000000,-0.265756,0.163168,-0.509717,0.000000,1.000000,1.000000,2.000000,0.343947,-0.167733,-0.509012,0.000000,1.000000,1.000000,3.000000,-0.290113,-0.171121,-0.509082,0.930392,1.000000
1680726316.251315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726316.248779,1.000000,0.000000,0.340127,0.171639,-0.509872,0.962730,1.000000,1.000000,1.000000,-0.265744,0.163158,-0.509717,0.000000,1.000000,1.000000,2.000000,0.343957,-0.167724,-0.509004,0.000000,1.000000,1.000000,3.000000,-0.290108,-0.171122,-0.509077,0.930392,1.000000
1680726316.259372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726316.258591,1.000000,0.000000,0.340127,0.171649,-0.509871,0.962730,1.000000,1.000000,1.000000,-0.265744,0.163158,-0.509717,0.000000,1.000000,1.000000,2.000000,0.343963,-0.167706,-0.508987,0.000000,1.000000,1.000000,3.000000,-0.290098,-0.171123,-0.509068,0.930392,1.000000
1680726316.269927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726316.268639,1.000000,0.000000,0.340127,0.171668,-0.509868,0.962730,1.000000,1.000000,1.000000,-0.265744,0.163158,-0.509717,0.000000,1.000000,1.000000,2.000000,0.343973,-0.167698,-0.508979,0.000000,1.000000,1.000000,3.000000,-0.290098,-0.171123,-0.509068,0.930392,1.000000
1680726316.279613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726316.278593,1.000000,0.000000,0.340127,0.171668,-0.509868,0.962730,1.000000,1.000000,1.000000,-0.265744,0.163158,-0.509717,0.000000,1.000000,1.000000,2.000000,0.343991,-0.167690,-0.508961,0.000000,1.000000,1.000000,3.000000,-0.290094,-0.171123,-0.509063,0.930392,1.000000
1680726316.289930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726316.288770,1.000000,0.000000,0.340127,0.171678,-0.509867,0.962730,1.000000,1.000000,1.000000,-0.265744,0.163158,-0.509717,0.000000,1.000000,1.000000,2.000000,0.343984,-0.167691,-0.508957,0.000000,1.000000,1.000000,3.000000,-0.290089,-0.171124,-0.509058,0.930392,1.000000
1680726316.299212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726316.298563,1.000000,0.000000,0.340127,0.171687,-0.509865,0.962730,1.000000,1.000000,1.000000,-0.265744,0.163158,-0.509717,0.000000,1.000000,1.000000,2.000000,0.344002,-0.167693,-0.508937,0.000000,1.000000,1.000000,3.000000,-0.290079,-0.171124,-0.509049,0.930392,1.000000
1680726316.299682,,,,,,,-5.530000,0.893966,0.000013,22.160000,1.657660,0.000005,7.870000,0.107886,0.000311,11.110000,0.101023,-0.000000,-7.120000,0.910984,0.000009,25.260000,1.654961,0.000000,-5.470000,0.899217,-0.000562,17.400000,1.652302,-0.007521,-4.520000,0.860076,0.000001,20.070000,1.650397,-0.002649,-9.000000,-0.099738,0.001873,-8.380000,-0.116745,-0.000011,1680726316.299018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680726316.307293,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680726316.309436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680726316.308573,1.000000,0.000000,0.340127,0.171687,-0.509865,0.962730,1.000000,1.000000,1.000000,-0.265744,0.163148,-0.509719,0.000000,1.000000,1.000000,2.000000,0.344011,-0.167684,-0.508929,0.000000,1.000000,1.000000,3.000000,-0.290075,-0.171125,-0.509044,0.930392,1.000000
