__time,/mcu/command/manual_twist/angular/x,/mcu/command/manual_twist/angular/y,/mcu/command/manual_twist/angular/z,/mcu/command/manual_twist/linear/x,/mcu/command/manual_twist/linear/y,/mcu/command/manual_twist/linear/z,/mcu/state/jointURDF/0/effort,/mcu/state/jointURDF/0/position,/mcu/state/jointURDF/0/velocity,/mcu/state/jointURDF/1/effort,/mcu/state/jointURDF/1/position,/mcu/state/jointURDF/1/velocity,/mcu/state/jointURDF/10/effort,/mcu/state/jointURDF/10/position,/mcu/state/jointURDF/10/velocity,/mcu/state/jointURDF/11/effort,/mcu/state/jointURDF/11/position,/mcu/state/jointURDF/11/velocity,/mcu/state/jointURDF/2/effort,/mcu/state/jointURDF/2/position,/mcu/state/jointURDF/2/velocity,/mcu/state/jointURDF/3/effort,/mcu/state/jointURDF/3/position,/mcu/state/jointURDF/3/velocity,/mcu/state/jointURDF/4/effort,/mcu/state/jointURDF/4/position,/mcu/state/jointURDF/4/velocity,/mcu/state/jointURDF/5/effort,/mcu/state/jointURDF/5/position,/mcu/state/jointURDF/5/velocity,/mcu/state/jointURDF/6/effort,/mcu/state/jointURDF/6/position,/mcu/state/jointURDF/6/velocity,/mcu/state/jointURDF/7/effort,/mcu/state/jointURDF/7/position,/mcu/state/jointURDF/7/velocity,/mcu/state/jointURDF/8/effort,/mcu/state/jointURDF/8/position,/mcu/state/jointURDF/8/velocity,/mcu/state/jointURDF/9/effort,/mcu/state/jointURDF/9/position,/mcu/state/jointURDF/9/velocity,/mcu/state/jointURDF/header/stamp,/mcu/state/toe_array/header/stamp,/mcu/state/toe_array/toes.0/contact,/mcu/state/toe_array/toes.0/id,/mcu/state/toe_array/toes.0/position/x,/mcu/state/toe_array/toes.0/position/y,/mcu/state/toe_array/toes.0/position/z,/mcu/state/toe_array/toes.0/sphase,/mcu/state/toe_array/toes.0/valid,/mcu/state/toe_array/toes.1/contact,/mcu/state/toe_array/toes.1/id,/mcu/state/toe_array/toes.1/position/x,/mcu/state/toe_array/toes.1/position/y,/mcu/state/toe_array/toes.1/position/z,/mcu/state/toe_array/toes.1/sphase,/mcu/state/toe_array/toes.1/valid,/mcu/state/toe_array/toes.2/contact,/mcu/state/toe_array/toes.2/id,/mcu/state/toe_array/toes.2/position/x,/mcu/state/toe_array/toes.2/position/y,/mcu/state/toe_array/toes.2/position/z,/mcu/state/toe_array/toes.2/sphase,/mcu/state/toe_array/toes.2/valid,/mcu/state/toe_array/toes.3/contact,/mcu/state/toe_array/toes.3/id,/mcu/state/toe_array/toes.3/position/x,/mcu/state/toe_array/toes.3/position/y,/mcu/state/toe_array/toes.3/position/z,/mcu/state/toe_array/toes.3/sphase,/mcu/state/toe_array/toes.3/valid
1680728355.110047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728355.109407,1.000000,0.000000,0.325316,0.169941,-0.482297,0.988449,1.000000,0.000000,1.000000,-0.309313,0.177637,-0.457743,0.075783,1.000000,0.000000,2.000000,0.329458,-0.155977,-0.477634,0.076758,1.000000,1.000000,3.000000,-0.290221,-0.150426,-0.474717,0.960667,1.000000
1680728355.120386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728355.119837,1.000000,0.000000,0.326321,0.169991,-0.483580,0.988449,1.000000,0.000000,1.000000,-0.310110,0.175884,-0.451690,0.101087,1.000000,0.000000,2.000000,0.328158,-0.154318,-0.471014,0.102295,1.000000,1.000000,3.000000,-0.289276,-0.151263,-0.475280,0.960667,1.000000
1680728355.153807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728355.130504,1.000000,0.000000,0.325548,0.169897,-0.484781,0.988449,1.000000,0.000000,1.000000,-0.310876,0.172558,-0.444102,0.126408,1.000000,0.000000,2.000000,0.327001,-0.153930,-0.463135,0.127815,1.000000,1.000000,3.000000,-0.289568,-0.150931,-0.475634,0.960667,1.000000
1680728355.154217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728355.139494,1.000000,0.000000,0.324504,0.169503,-0.485536,0.988449,1.000000,0.000000,1.000000,-0.309800,0.171155,-0.434018,0.151744,1.000000,0.000000,2.000000,0.326596,-0.153544,-0.452872,0.153321,1.000000,1.000000,3.000000,-0.291365,-0.150849,-0.476227,0.960667,1.000000
1680728355.155002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728355.149364,1.000000,0.000000,0.322534,0.169163,-0.486038,0.988449,1.000000,0.000000,1.000000,-0.308367,0.171007,-0.423075,0.177093,1.000000,0.000000,2.000000,0.326483,-0.154455,-0.442294,0.178813,1.000000,1.000000,3.000000,-0.292079,-0.151047,-0.476823,0.960667,1.000000
1680728355.160865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728355.159330,1.000000,0.000000,0.322149,0.169073,-0.486272,0.988449,1.000000,0.000000,1.000000,-0.306812,0.172969,-0.411192,0.202453,1.000000,0.000000,2.000000,0.327024,-0.154881,-0.431224,0.204296,1.000000,1.000000,3.000000,-0.292365,-0.151453,-0.477230,0.960667,1.000000
1680728355.161217,,,,,,,-8.420000,0.806098,-0.092034,44.530000,1.550629,0.145844,-1.550000,0.158124,0.291210,14.170000,0.149803,-0.085192,-4.580000,0.629451,-1.776850,0.040000,1.255455,-4.275639,-3.300000,0.708141,-1.932045,-2.510000,1.322756,-4.253723,-7.100000,0.784479,-0.020571,44.680000,1.503775,0.198103,-17.740000,-0.110131,-0.025490,2.670000,-0.121078,-0.088864,1680728355.159542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680728355.170455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680728355.169531,1.000000,0.000000,0.321720,0.169203,-0.486674,0.988449,1.000000,0.000000,1.000000,-0.306093,0.174294,-0.399628,0.227822,1.000000,0.000000,2.000000,0.327685,-0.155273,-0.419439,0.229769,1.000000,1.000000,3.000000,-0.292675,-0.152035,-0.477186,0.960667,1.000000
1680728355.174088,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680728355.175761,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
