PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_body_motion_3_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

20	0.190	-250.94009	28.24525	18.99196	224.57076	31.13767	8.22859	-223.06599	-82.05228	624.76770	239.99506	-85.07690	612.25793	-6.45550	808.98773	-63.78744	-92.01567	545.89819	-80.00034	60.15751	552.17731	-86.76161	-58.65990	425.71280	795.19244	92.59436	425.39960	791.87842	
21	0.200	-250.83339	28.08271	18.92579	223.88173	29.61529	7.10244	-223.07909	-82.16830	624.66101	239.94785	-85.08001	612.09473	-6.56046	812.67859	-63.35942	-91.98862	549.44080	-79.93382	60.06340	555.69873	-86.17437	-58.74422	428.07550	794.94250	92.53407	427.58679	791.68488	
22	0.210	-250.87099	28.00863	18.83903	224.79811	30.02475	6.87088	-223.10028	-82.23128	624.49023	239.91811	-85.11890	611.98285	-6.61859	816.35211	-62.94761	-92.22473	553.12354	-79.98592	60.04895	559.21686	-86.13396	-58.82387	430.32126	794.81073	92.22182	429.49390	790.95001	
23	0.220	-250.88675	28.03718	18.72457	223.94777	29.68903	6.55272	-223.19389	-82.17403	624.30963	239.92407	-85.09092	611.94672	-6.71041	819.57123	-62.51311	-92.36048	556.48285	-80.11589	60.00429	562.60144	-86.20488	-59.33094	432.44040	794.52533	92.04742	431.39023	790.72443	
24	0.230	-250.90494	28.11117	18.54215	224.77795	30.24232	6.35800	-223.14923	-82.13772	624.22693	239.91856	-85.08356	611.83661	-6.74974	822.64264	-62.18151	-92.44644	559.64899	-80.02875	60.01715	565.71814	-86.18204	-59.30120	434.13544	794.47009	92.03442	433.11612	790.44531	
25	0.240	-251.00435	28.14098	18.29056	224.85332	30.15952	6.17138	-223.17216	-82.15166	624.15051	239.92194	-85.04208	611.66595	-6.77475	825.59436	-61.77282	-92.39164	562.62531	-80.09721	59.77542	568.84906	-86.69064	-59.34805	435.73947	794.16962	92.60706	434.98328	790.54010	
26	0.250	-251.05937	28.18653	18.03722	225.67644	30.46240	5.65012	-223.20609	-82.23040	624.07849	239.95836	-85.03494	611.59918	-6.71484	828.22986	-61.46919	-92.44814	565.21936	-80.07799	59.77072	571.23535	-86.30563	-58.94276	436.82504	793.90790	92.46296	435.17395	789.08191	
27	0.260	-250.94165	27.88163	17.98226	225.59399	30.37502	5.53531	-223.22253	-82.32365	623.99500	239.96210	-85.04345	611.52417	-6.67489	830.60260	-61.18710	-92.53880	567.65070	-79.95414	59.72471	573.66309	-86.35358	-58.40320	438.04431	793.49219	92.27381	436.26620	788.92053	
28	0.270	-250.93158	27.81850	17.82640	225.56056	30.02896	5.77328	-223.24190	-82.34634	623.92737	239.98352	-85.03365	611.43018	-6.69844	832.90765	-60.76758	-92.53315	569.85419	-79.97797	59.59813	576.17200	-86.99300	-59.06190	439.33945	793.54645	91.97810	437.91779	788.98065	
29	0.280	-250.97440	27.87481	17.69682	224.72505	30.10811	5.52406	-223.22130	-82.31139	623.88916	239.96211	-85.01792	611.38684	-6.63789	834.86774	-60.44887	-92.61306	572.02789	-80.07620	59.70045	577.99890	-86.53036	-58.37925	440.13623	793.09766	91.96016	438.60446	789.09467	
30	0.290	-251.14249	28.03748	17.45056	223.78931	29.82627	5.41989	-223.19891	-82.23975	623.86316	239.98555	-85.02402	611.35071	-6.49991	836.81232	-60.27829	-92.65387	573.94989	-80.13307	59.63709	579.87256	-86.59070	-58.97087	440.85153	793.24255	91.95963	439.17148	788.58887	
31	0.300	-251.20665	28.05228	17.34134	223.75648	29.82668	5.38141	-223.20457	-82.25998	623.82776	240.00278	-84.98666	611.34174	-6.51761	838.22510	-59.97874	-92.70621	575.47070	-80.18745	58.92257	581.52081	-86.61331	-59.03553	441.76492	792.85358	92.17527	439.97382	788.61700	
32	0.310	-251.23141	28.03440	17.27485	223.72702	29.79765	5.24286	-223.25543	-82.28857	623.74048	240.01889	-85.02364	611.29498	-6.71523	839.63953	-59.85867	-92.89960	576.94031	-80.42940	59.37715	583.13812	-87.20803	-59.03617	442.25534	792.58624	91.89045	441.70477	789.87018	
33	0.320	-251.29242	28.02321	17.19238	223.81238	29.79872	5.15630	-223.25365	-82.34259	623.64825	240.08896	-85.04321	611.20642	-6.65732	841.03027	-59.48522	-92.81960	578.31909	-80.38850	59.62069	584.27765	-86.76164	-59.12449	442.60995	792.62823	93.54575	442.21399	790.24384	
34	0.330	-251.30611	28.03469	17.15299	223.61388	30.26707	5.27186	-223.26123	-82.37012	623.59851	240.13074	-85.05219	611.18176	-6.73470	842.17017	-59.35921	-92.94823	579.30365	-80.59912	59.52724	585.21521	-86.82299	-59.05081	442.87177	792.50562	93.91709	442.67377	790.17914	
35	0.340	-251.30562	28.12129	17.08926	223.85397	29.90788	5.32936	-223.25755	-82.29708	623.54865	240.07217	-84.98380	611.10413	-6.59275	843.05151	-59.17205	-92.83192	580.36005	-80.56753	59.65992	586.26410	-86.84591	-59.21912	443.07663	792.29779	92.38988	442.16309	788.02380	
36	0.350	-251.31964	28.13708	17.05896	223.83401	29.87625	5.33146	-223.21945	-82.29434	623.57385	240.02419	-85.02219	611.12512	-6.60568	843.67767	-59.10079	-92.96889	581.06055	-80.69717	59.59382	586.87781	-86.89522	-59.35713	443.27625	792.12598	92.48112	442.25299	787.90491	
37	0.360	-251.33028	28.08802	17.04244	223.81744	29.83567	5.30428	-223.22858	-82.34371	623.56256	240.10811	-85.06232	611.14111	-6.47794	844.11548	-59.01186	-92.93410	581.43292	-80.74540	59.51923	587.23584	-86.98590	-59.33776	443.20224	791.90851	92.53876	442.23843	787.68738	
38	0.370	-251.33862	28.05609	17.01604	223.81171	29.72631	5.30089	-223.26788	-82.37077	623.57086	240.08954	-85.07540	611.12476	-6.59065	844.39856	-59.06891	-92.88396	581.60474	-80.75745	59.49970	587.47406	-87.05853	-58.95905	443.00589	791.66931	92.59377	442.12753	787.56158	
39	0.380	-251.37245	28.01630	16.98889	223.86906	29.66053	5.22128	-223.25496	-82.39664	623.55615	240.14194	-85.10032	611.14014	-6.65757	844.50568	-59.06492	-92.81413	581.65063	-80.81187	59.57278	587.56146	-87.07215	-59.01652	442.84058	791.60474	92.31782	441.35104	786.70465	
40	0.390	-251.35583	27.97309	17.00172	223.82700	29.65335	5.23486	-223.23441	-82.43366	623.57098	240.16762	-85.14452	611.16632	-6.63968	844.51221	-59.05654	-92.81611	581.70319	-80.87169	59.59700	587.63037	-87.10448	-58.85418	442.74103	791.53455	92.42743	441.15695	786.57019	
41	0.400	-251.36436	27.97434	17.00621	223.84633	29.65799	5.25788	-223.23268	-82.40977	623.63904	240.15964	-85.17858	611.18195	-6.60089	844.43701	-59.08699	-92.82064	581.66742	-80.90008	59.77604	587.45917	-87.11501	-58.78733	442.67838	791.44733	92.55320	440.92728	786.46265	
42	0.410	-251.35626	27.86744	17.07373	223.77042	29.50675	5.26897	-223.19977	-82.38739	623.68958	240.17596	-85.19942	611.19824	-6.50288	844.24298	-59.14337	-92.83229	581.58276	-80.90411	59.56899	587.40918	-87.20107	-58.72967	442.53967	791.35553	92.60522	440.75980	786.41302	
43	0.420	-251.35080	27.77412	17.12535	223.81763	29.45436	5.31519	-223.23709	-82.44767	623.66815	240.20441	-85.20146	611.16559	-6.42593	844.04285	-59.14201	-92.85525	581.41254	-80.93542	59.70760	587.17981	-87.18477	-58.20040	442.18103	791.05444	92.32732	440.64679	786.76379	
44	0.430	-251.37202	27.77680	17.10285	223.79759	29.38061	5.30579	-223.26260	-82.50886	623.68146	240.23840	-85.23129	611.19824	-6.56750	843.86993	-59.25327	-92.79602	581.32965	-80.98784	59.72134	587.09326	-87.22510	-58.20067	442.02719	791.00507	92.36260	440.53165	786.78540	
45	0.440	-251.38420	27.82578	17.10847	223.80795	29.41266	5.29656	-223.22951	-82.50895	623.67059	240.18364	-85.23508	611.21240	-6.52148	843.83746	-59.20771	-92.82288	581.32275	-81.00680	59.77196	587.07513	-87.19479	-58.16455	441.92050	791.01062	92.52406	440.33191	786.72913	
46	0.450	-251.37500	27.82384	17.08578	223.84996	29.42050	5.32004	-223.21786	-82.47648	623.66809	240.25076	-85.25481	611.23700	-6.52620	843.89636	-59.11456	-92.78593	581.31995	-81.01413	59.74385	587.13928	-87.22485	-58.05919	441.75674	791.00720	92.89490	439.96838	786.42908	
47	0.460	-251.35339	27.87852	17.08884	224.02695	29.49406	5.30361	-223.20892	-82.41695	623.71527	240.21188	-85.26632	611.25531	-6.44618	844.00946	-58.95262	-92.79183	581.45898	-80.96053	59.79398	587.19055	-87.21191	-58.37033	441.77347	791.15619	92.76162	439.85370	786.78485	
48	0.470	-251.34277	27.89802	17.09344	223.80441	29.44632	5.37494	-223.21519	-82.44071	623.73779	240.19237	-85.25122	611.22668	-6.57360	844.14203	-58.87768	-92.75449	581.53943	-80.95573	59.77684	587.32928	-87.21181	-57.75957	440.98523	790.96271	92.70859	439.49539	786.72186	
49	0.480	-251.36136	27.87446	17.08710	223.77991	29.48283	5.35693	-223.23605	-82.46617	623.73944	240.23769	-85.21542	611.27026	-6.59621	844.25183	-58.74912	-92.73171	581.62677	-80.95826	59.76853	587.47882	-87.24319	-57.84561	440.47443	790.90778	92.22766	439.02963	786.18921	
50	0.490	-251.33485	27.88060	17.08933	223.78865	29.49506	5.33683	-223.24930	-82.49194	623.77563	240.23587	-85.26322	611.24750	-6.58015	844.43317	-58.62990	-92.77480	581.77209	-80.96406	59.63243	587.68225	-87.30981	-57.91898	440.21503	790.74304	92.43753	440.03540	787.75665	
51	0.500	-251.37997	27.93630	17.06921	223.77347	29.56922	5.29647	-223.23119	-82.48212	623.78113	240.24200	-85.28976	611.28882	-6.56421	844.53101	-58.48140	-92.78004	581.95044	-81.03377	59.67458	587.84668	-87.31892	-57.84555	440.14291	790.60883	92.84180	439.41083	787.56409	
52	0.510	-251.35199	27.96988	17.07690	223.80098	29.56297	5.31749	-223.19075	-82.43903	623.81549	240.20966	-85.25356	611.30328	-6.64834	844.56354	-58.39710	-92.77953	581.99701	-81.03188	59.62841	588.20349	-87.84703	-57.72737	439.87717	790.53119	92.71790	438.38129	785.51141	
53	0.520	-251.35847	27.93122	17.09413	223.83562	29.50937	5.32895	-223.21375	-82.46182	623.84393	240.16040	-85.27648	611.32239	-6.68965	844.54669	-58.32009	-92.79581	582.05048	-81.08408	59.58608	588.25690	-87.85912	-57.56682	439.28946	790.48438	93.98686	439.18365	788.45227	
54	0.530	-251.37126	27.88764	17.10582	223.80893	29.44270	5.32021	-223.24348	-82.49069	623.83777	240.20839	-85.31322	611.32935	-6.71360	844.51373	-58.23515	-92.80949	582.01825	-81.08072	59.56769	588.26239	-87.92255	-57.57077	438.60114	790.45074	92.34706	437.11612	785.64600	
55	0.540	-251.36681	27.80772	17.13498	223.81284	29.45855	5.34025	-223.22810	-82.48531	623.84790	240.15593	-85.29742	611.34222	-6.71052	844.57172	-58.14366	-92.80502	582.06500	-81.16063	59.56851	588.28339	-87.96205	-57.49109	437.48544	790.03589	92.52232	436.37286	785.73004	
56	0.550	-251.36928	27.81314	17.12265	223.83601	29.43987	5.32218	-223.22780	-82.52360	623.87219	240.19591	-85.33823	611.36591	-6.70242	844.63391	-58.00219	-92.80501	582.21167	-81.26963	59.59259	588.35828	-87.99458	-57.40622	437.15439	789.94550	92.64992	436.33337	785.30725	
57	0.560	-251.36285	27.82187	17.09112	223.82065	29.47809	5.30155	-223.21594	-82.49884	623.88599	240.22914	-85.25340	611.36218	-6.67510	844.68317	-57.92840	-92.87817	582.44647	-81.45038	59.59782	588.44995	-88.05534	-57.57763	437.35132	789.66345	92.78102	435.87830	786.13660	
58	0.570	-251.36841	27.86780	17.09751	223.83574	29.48235	5.34049	-223.19688	-82.49093	623.89160	240.15428	-85.27258	611.36908	-6.66288	844.77271	-57.81432	-92.89147	582.63708	-81.53319	59.55616	588.64496	-88.11639	-57.52586	436.71365	789.45300	92.39795	435.20267	785.08368	
59	0.580	-251.36879	27.82625	17.11633	223.96216	29.57096	5.29947	-223.23108	-82.45979	623.92456	240.17284	-85.31348	611.39801	-6.69815	844.88245	-57.68147	-92.89848	582.80823	-81.65753	59.39793	588.84308	-88.32300	-57.67330	435.98883	789.27155	92.55590	434.79269	784.41479	
60	0.590	-251.36888	27.82437	17.12353	223.78783	29.47354	5.25595	-223.21922	-82.46856	623.92041	240.16640	-85.32439	611.45087	-6.66981	845.09747	-57.49995	-92.91939	582.89880	-81.74214	59.45073	588.94763	-88.45455	-57.41978	435.48105	789.20313	92.47806	433.95178	784.17749	
61	0.600	-251.37381	27.80072	17.10549	223.78812	29.50096	5.27443	-223.23720	-82.48839	623.92499	240.14174	-85.30285	611.43903	-6.70352	845.25244	-57.38457	-92.91485	582.97491	-81.81448	59.34744	589.15436	-88.64915	-57.46434	434.99435	789.00171	93.06689	434.55118	785.73071	
62	0.610	-251.37241	27.86760	17.10216	223.83238	29.51451	5.23404	-223.21124	-82.45721	623.91296	240.22409	-85.30770	611.42297	-6.67364	845.32318	-57.35661	-92.93761	583.02112	-81.94870	59.33173	589.22980	-88.80076	-57.52273	434.77344	788.83600	92.77626	432.87646	784.56287	
63	0.620	-251.37814	27.89342	17.04345	223.78522	29.48546	5.20863	-223.20496	-82.45525	623.94196	240.13669	-85.33334	611.45386	-6.74615	845.40253	-57.29854	-93.00221	583.15643	-82.06037	59.38237	589.05908	-88.49741	-57.50805	433.77371	788.38898	92.39335	432.61865	783.86774	
