PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_body_motion_1_6-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

20	0.190	-273.19431	29.02845	77.25137	319.92694	26.79196	60.98500	-254.17926	51.36305	677.77478	332.52301	48.12840	661.56329	28.74809	857.31653	-122.17957	-58.06364	561.30560	-35.84140	95.10400	565.85107	-42.88435	-24.55750	597.69220	845.42200	117.51779	596.33826	842.11877	
21	0.200	-273.25211	29.07160	77.04553	319.94257	26.83950	60.82735	-254.21390	51.38091	677.66406	333.06589	48.58001	661.76550	28.93878	858.26959	-122.71157	-58.28949	563.70081	-35.73692	95.30156	568.03613	-42.73163	-24.80651	599.56854	845.78033	117.35581	598.19543	842.15741	
22	0.210	-273.38669	29.04708	76.91422	319.89426	26.37446	59.83426	-254.30463	51.25611	677.57452	333.02911	48.58992	661.69086	28.68678	859.04041	-123.21732	-58.49876	565.96033	-35.59427	96.18177	570.26904	-42.37690	-24.80561	601.60846	845.72827	116.91239	599.47546	841.81519	
23	0.220	-273.49216	28.97267	76.81033	319.96326	26.28561	59.68006	-254.35034	51.15992	677.47882	333.01367	48.53434	661.57605	28.70594	860.08258	-123.77811	-58.63095	568.22540	-35.44437	96.12737	572.49567	-42.04158	-25.06263	603.07190	845.77850	116.82357	601.52026	842.32416	
24	0.230	-273.53369	28.91591	76.76088	320.00131	26.22010	59.55390	-254.36555	51.14751	677.39752	333.01132	48.51175	661.48187	28.67854	860.95508	-124.30001	-58.79161	570.53418	-35.22361	95.32743	574.68939	-42.06718	-25.13662	604.85522	846.00909	117.30026	603.62476	843.12555	
25	0.240	-273.52722	28.88659	76.66637	320.01297	26.63593	60.11832	-254.35939	51.12003	677.25311	333.04135	48.50476	661.38300	28.78105	861.92938	-124.88070	-58.86128	572.83441	-35.03437	95.21443	577.07397	-41.98765	-24.28291	606.50391	846.06879	116.87975	605.49591	842.76447	
26	0.250	-273.54892	28.92380	76.56585	320.02463	26.60625	59.99920	-254.39105	51.13190	677.08417	333.11118	48.53637	661.26129	28.38736	863.02240	-125.41573	-59.08930	575.25659	-35.01693	95.09419	579.35809	-41.74704	-24.25327	608.35315	846.10138	116.33160	606.77216	842.22125	
27	0.260	-273.61081	28.89523	76.42127	320.03690	26.60572	59.87840	-254.44626	51.10379	676.98260	332.06570	48.03220	660.99408	28.27629	864.04913	-125.95663	-59.31152	577.69037	-34.98618	95.60936	581.79132	-41.61161	-25.14057	610.28320	846.45154	116.78436	608.93402	843.51788	
28	0.270	-273.74155	28.80508	76.30978	320.01013	26.53951	59.73245	-254.57169	50.95227	676.91553	331.61948	47.54644	660.52869	28.28306	864.92847	-126.49436	-59.44389	579.97656	-34.90427	94.74599	584.00391	-41.37129	-25.37962	612.30829	847.04724	116.63457	610.79028	843.77740	
29	0.280	-273.82559	28.65164	76.17033	319.96542	26.50390	59.52215	-254.63747	50.86677	676.80371	331.57443	47.50692	660.40167	28.27355	865.67676	-127.10243	-59.67740	582.27643	-34.59517	94.58717	586.11633	-41.12251	-25.50071	613.71088	846.80139	116.24442	611.85028	843.19800	
