PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_body_motion_2_8-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      1711	9	mm	100.00	1	      1711
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-186.29536	26.16435	-50.85461	318.83945	25.86791	88.36296	-344.44400	27.72341	520.63922	156.83742	24.02563	658.64331	117.48486	847.24420	-118.77273	26.01762	543.19635	-112.45286	174.64172	547.26221	-74.67098	-201.53221	558.20038	739.33429	-65.94566	557.59973	778.14099	
2	0.010	-186.31470	26.17952	-50.85417	318.72937	25.85501	88.36211	-344.45001	27.70964	520.65906	156.77930	24.00040	658.71283	118.10133	851.57288	-120.65647	26.01908	542.87054	-112.43199	174.64305	546.79767	-74.71169	-202.36148	557.87946	739.76990	-66.19604	556.80042	778.23169	
3	0.020	-186.29848	26.23833	-50.75901	318.73056	25.89262	88.39759	-344.52597	27.74539	520.76312	156.75928	24.00535	658.75720	118.78734	855.83154	-123.04664	25.96112	542.63342	-112.36346	174.57927	546.47156	-74.80888	-202.57851	557.00708	739.81128	-66.29812	556.04913	778.35199	
4	0.030	-186.30988	26.22756	-50.74826	318.79956	25.90487	88.49408	-344.49973	27.74025	520.80579	156.71675	23.98452	658.81738	119.49156	859.82251	-125.70138	25.99882	542.26563	-112.23347	174.57527	546.14911	-74.68401	-202.25972	555.94635	739.67163	-66.13109	555.03046	778.38562	
5	0.040	-186.26233	26.27228	-50.66700	318.66379	25.83399	88.43816	-344.43314	27.81093	520.89246	156.68996	24.00577	658.85211	120.23181	863.72046	-128.47612	25.97657	542.04742	-112.16235	174.59285	545.81525	-74.39246	-202.65431	555.14838	740.18127	-66.42094	554.30249	778.57410	
6	0.050	-186.11331	26.10317	-50.27109	318.69220	25.88170	88.52218	-344.40527	27.72895	520.94531	156.62181	23.97030	658.89008	120.91257	867.60632	-131.19058	26.12419	542.20526	-112.78030	174.51430	545.65326	-74.35719	-202.56387	554.38037	740.28003	-66.57517	553.45502	778.67230	
7	0.060	-186.21716	26.19229	-50.33644	318.64630	25.78415	88.55178	-344.39795	27.69556	521.01624	156.59718	23.99390	658.92627	121.77654	871.45660	-133.91258	25.84180	541.39905	-111.97407	174.45769	545.43799	-74.26807	-202.20622	553.59906	740.50952	-66.24701	552.78857	778.75745	
8	0.070	-186.17239	26.18142	-50.29836	318.74420	25.91444	88.68589	-344.45621	27.75041	521.03235	156.59665	23.98080	658.99622	122.64017	874.97791	-136.27676	25.63619	541.14154	-111.85703	174.35886	545.23877	-74.17737	-202.30556	552.99237	740.58649	-66.32421	552.36456	778.81396	
9	0.080	-186.20834	26.17193	-50.31365	318.60764	25.91948	88.52407	-344.44995	27.83336	521.07263	156.59023	24.01837	658.96808	123.86003	877.88806	-138.57658	25.51497	541.03192	-111.74666	174.29185	545.13751	-74.06887	-202.40967	552.62286	740.64703	-66.45221	552.01892	778.81903	
10	0.090	-186.24805	26.18147	-50.25562	318.70850	25.96935	88.59692	-344.46075	27.78137	521.13702	156.57253	23.96716	658.99377	125.12568	880.29089	-140.77003	25.39661	540.97479	-111.66463	174.05666	545.03754	-74.02202	-202.42113	552.30408	740.74634	-66.40479	551.48511	779.01007	
11	0.100	-186.22786	26.01692	-50.20033	318.68051	26.00556	88.61755	-344.46100	27.73528	521.14313	156.58609	23.97338	659.00378	126.34623	882.04877	-142.82491	25.27604	540.99988	-111.58216	173.93257	544.99213	-73.92390	-202.29150	552.07220	740.85120	-66.31713	551.10730	779.10791	
12	0.110	-186.30807	26.16680	-50.21218	318.64581	25.98767	88.59075	-344.42789	27.76727	521.15869	156.59674	23.95544	659.02722	127.43985	883.03595	-144.71616	25.15271	541.08350	-111.50132	173.81947	545.09430	-73.80903	-202.40086	551.98572	740.92114	-66.53028	551.03345	779.25073	
13	0.120	-186.28699	26.17444	-50.23434	318.69238	26.03482	88.63741	-344.41629	27.72982	521.19733	156.61076	23.96724	659.00616	128.30222	883.43201	-146.42278	25.01170	541.29120	-111.32887	174.23305	545.20740	-73.71732	-202.35718	551.95795	740.95410	-66.51408	550.98145	779.32898	
14	0.130	-186.21384	26.10771	-50.15521	319.77780	27.01929	89.38388	-344.45319	27.76403	521.16437	156.58815	24.02148	658.99561	129.07750	883.02008	-148.03587	25.14119	541.38696	-111.39582	173.96538	545.43317	-73.87327	-202.56429	551.95483	741.25195	-66.40051	551.02765	779.22382	
15	0.140	-186.18600	26.12932	-50.20093	319.77344	27.03314	89.40434	-344.45801	27.81159	521.14838	156.56131	24.03742	659.00372	130.15398	881.90259	-149.39787	25.17639	541.44659	-111.42222	174.91386	545.57623	-74.37532	-202.49841	552.08490	740.93420	-66.45077	551.11298	779.24805	
