PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_body_motion_1_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-279.94955	28.20757	19.14061	318.74841	26.87117	79.43754	-329.41693	30.78688	622.82452	246.09659	27.43468	683.04871	55.23050	848.66351	-123.34003	-45.71063	537.91711	-66.87439	107.74895	542.82819	-53.98737	-125.94226	555.14502	811.17712	15.65333	553.44824	826.37030	
2	0.010	-279.94052	28.24545	19.13391	318.18475	26.65978	78.88013	-329.38693	30.75465	622.84412	246.06812	27.44380	683.02472	55.17981	849.09833	-123.33978	-45.63676	537.93085	-66.87521	107.80447	542.84155	-53.97085	-125.97446	555.13367	811.17780	15.65629	553.44568	826.40820	
3	0.020	-279.90598	28.24859	19.12640	318.78378	26.80976	79.45788	-329.40686	30.79070	622.79395	246.09129	27.46631	683.01532	54.86873	849.80072	-123.29247	-45.61362	537.91156	-66.83955	107.93361	542.63165	-53.81819	-125.90929	555.14563	811.16138	15.65713	553.45605	826.42316	
4	0.030	-279.90131	28.25793	19.12855	318.18448	26.62283	78.86449	-329.38010	30.83111	622.83600	246.12811	27.43255	683.00366	54.55257	850.47632	-123.34884	-45.57119	537.91547	-66.86564	107.87814	542.87347	-53.92894	-125.95942	555.14441	811.18207	16.81420	551.94733	828.19476	
5	0.040	-279.86548	28.27009	19.10006	318.82703	26.77546	79.47736	-329.40305	30.84138	622.80573	246.15091	27.44122	682.99103	54.10101	851.18512	-123.40522	-45.54999	537.89258	-66.88366	107.88241	542.84991	-53.91938	-125.96661	555.14655	811.18652	16.79468	551.95789	828.16730	
6	0.050	-279.89798	28.26063	19.12165	318.24170	26.66125	78.94020	-329.39319	30.80639	622.81525	246.09718	27.43358	683.02313	53.71096	851.93286	-123.52855	-45.47755	537.89148	-66.88664	108.12198	542.61823	-53.79346	-125.90011	555.12177	811.16913	15.66350	553.45227	826.43964	
7	0.060	-279.88367	28.25251	19.12119	318.21228	26.57476	78.87952	-329.40881	30.84855	622.81219	246.10776	27.41994	682.99133	53.33985	852.56207	-123.52923	-45.43165	537.86438	-66.85753	108.18550	542.59418	-53.77802	-125.96075	555.13812	811.13715	15.70658	553.45782	826.42059	
8	0.070	-279.88312	28.28289	19.10882	318.79608	26.78046	79.47522	-329.37836	30.82947	622.78326	246.09361	27.42383	682.99854	53.01245	853.24304	-123.65189	-45.43996	537.88715	-66.85199	108.19198	542.60126	-53.82796	-125.90247	555.13898	811.14575	15.69411	553.46667	826.41931	
9	0.080	-279.85965	28.27580	19.09558	318.23215	26.64182	78.88143	-329.38867	30.79285	622.76971	246.13437	27.42136	682.97821	52.39869	854.02222	-123.69369	-45.44725	537.91406	-66.86462	108.21389	542.63220	-53.79243	-125.89431	555.19928	811.13214	15.73058	553.44739	826.41852	
10	0.090	-279.87741	28.25083	19.09193	318.21490	26.65731	78.84743	-329.37851	30.85207	622.78961	246.12250	27.43738	682.95508	51.86047	854.47382	-123.77493	-45.45139	537.94379	-66.83614	108.19267	542.69220	-53.81953	-125.87669	555.13770	811.11853	15.73740	553.46863	826.41071	
11	0.100	-279.84933	28.25320	19.08951	318.80267	26.83313	79.45361	-329.36758	30.84746	622.74457	246.13170	27.44990	682.98175	51.43706	854.98285	-123.84829	-45.46218	537.95361	-66.85610	108.01541	542.89429	-53.93288	-125.41286	554.71790	811.21075	16.86246	551.95239	828.14917	
12	0.110	-279.88406	28.25205	19.11175	318.20935	26.63474	78.84241	-329.36978	30.82390	622.78912	246.08615	27.41958	682.97095	51.07481	855.50110	-123.96035	-45.43372	537.93323	-66.85178	108.24514	542.64270	-53.77345	-125.83875	555.18744	811.15179	16.82953	551.98578	828.15326	
13	0.120	-279.86768	28.21732	19.08969	318.20111	26.61243	78.83395	-329.37695	30.81781	622.79694	246.12112	27.42705	682.96600	50.59750	855.96136	-124.02525	-45.42512	537.95648	-66.86124	108.22625	542.66443	-53.81358	-125.83524	555.15594	811.09296	15.68995	553.47638	826.38373	
14	0.130	-279.90445	28.24594	19.10678	318.80670	26.78794	79.43242	-329.36697	30.82796	622.79346	246.12650	27.44485	682.95917	50.14342	856.28998	-124.13430	-45.43845	537.96777	-66.82414	107.98542	542.91315	-53.95642	-125.57645	554.55035	811.69202	15.65621	553.49402	826.37592	
15	0.140	-279.91168	28.25777	19.11808	318.14462	26.64915	78.85946	-329.39728	30.81555	622.77570	246.10036	27.44704	682.95221	49.55212	856.67041	-124.27641	-45.48561	537.97131	-66.83289	108.14867	542.69806	-53.84459	-125.91064	555.17523	811.14258	15.49407	553.60992	826.40527	
