PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_body_motion_1_2-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-249.34554	27.67126	35.59822	329.12769	22.67591	131.19589	-329.95605	-4.69085	645.21851	212.31979	-13.99268	736.20398	77.33986	868.08740	-66.83340	-18.11910	547.01849	-34.78217	135.26813	550.70801	-10.78710	-148.94090	509.18515	838.26703	-9.23504	507.88684	860.85767	
2	0.010	-249.40770	27.62889	35.60578	329.21072	22.62005	131.33914	-330.02127	-4.58555	645.17603	212.33269	-13.85142	736.27032	77.82376	867.53363	-67.80950	-18.25243	548.07294	-34.67968	135.19229	551.70679	-10.88187	-148.82196	509.80600	838.30219	-8.57841	508.65350	861.64856	
3	0.020	-250.32852	28.31280	34.97666	329.20071	22.67619	131.17960	-329.90002	-4.60086	645.17114	212.37032	-13.85028	736.27972	78.66427	867.18689	-68.73067	-18.40171	549.19482	-34.62286	134.94237	552.78479	-10.72897	-148.40337	510.37277	838.47180	-8.85461	509.27194	861.16437	
4	0.030	-249.57414	27.56180	35.42615	329.26392	22.67435	131.09109	-329.95853	-4.61049	645.05212	212.42482	-13.81517	736.24048	79.12729	866.92755	-69.58277	-17.90440	549.34576	-33.27474	134.81775	554.12457	-10.84828	-148.75169	511.95471	838.57062	-8.36041	510.40100	861.50635	
5	0.040	-249.61487	27.53328	35.31204	329.26913	22.70403	130.74274	-330.02353	-4.57617	644.91821	212.49792	-13.79151	736.21466	79.52074	866.90765	-70.21223	-17.92683	550.33978	-33.11914	134.76080	555.21655	-10.57966	-147.82068	512.56006	838.48218	-8.63662	511.67325	861.67285	
6	0.050	-249.63957	27.57936	35.20469	329.34283	22.71584	130.59814	-330.04205	-4.57794	644.85364	212.50471	-13.76923	736.15601	79.66302	866.98981	-70.85860	-17.86506	551.97498	-33.10431	134.69240	556.84161	-10.75498	-148.63277	514.42450	838.48535	-8.95708	513.53210	861.51636	
7	0.060	-249.67027	27.59863	35.10156	329.46985	22.73232	130.51094	-330.06644	-4.55020	644.70850	212.53041	-13.74384	736.13507	79.57101	867.29669	-71.61882	-17.85717	553.47473	-32.97020	134.70029	558.27332	-10.40187	-148.50204	516.00623	838.80707	-8.91053	514.93134	861.65802	
8	0.070	-249.70355	27.57078	34.97519	329.54379	22.70132	130.44217	-330.13129	-4.46346	644.47040	212.55414	-13.74035	736.08008	79.43526	867.59216	-72.19953	-17.88475	554.66754	-32.86508	134.74960	559.75586	-10.48501	-148.66830	517.59961	838.88995	-9.33270	516.55774	861.77704	
9	0.080	-249.71494	27.49714	34.89083	330.62018	23.19536	130.78452	-330.16318	-4.62588	644.51172	212.51651	-13.76219	735.94452	79.31553	868.09991	-72.81691	-17.84481	556.57898	-33.02619	134.80530	561.22430	-10.17172	-148.79037	519.29932	838.96576	-9.58531	518.24182	861.84271	
10	0.090	-249.67412	27.42033	34.82326	330.37079	23.13123	130.66422	-330.17059	-4.65038	644.35852	212.53230	-13.78142	735.87708	79.23792	868.65515	-73.17197	-17.69530	558.12457	-32.76204	135.25706	562.94299	-9.81466	-149.20822	521.00006	838.73651	-9.47613	519.81848	861.80078	
11	0.100	-249.59540	27.39093	34.73449	328.50266	22.01171	129.38206	-330.15173	-4.72977	644.31702	212.50906	-13.81226	735.74042	79.55633	869.35333	-73.67348	-17.71370	559.65179	-32.61083	134.94652	564.61896	-9.90155	-149.80722	523.25275	838.82703	-9.57860	521.50311	861.95972	
12	0.110	-249.55354	27.39880	34.67701	328.55804	21.95192	129.26595	-330.06943	-4.75665	644.20337	212.51515	-13.80826	735.60498	79.92555	870.00427	-74.10838	-17.77034	561.53510	-32.44764	134.86221	566.34436	-9.68856	-149.77965	524.66479	839.28741	-9.35453	523.29974	862.36487	
13	0.120	-249.52118	27.40522	34.59729	328.51184	21.97724	129.17944	-330.07269	-4.70417	644.06128	212.53874	-13.76934	735.51788	80.16802	870.73969	-74.60970	-17.79520	563.45795	-32.31244	134.79976	568.21832	-9.56283	-149.43555	526.15582	839.30823	-9.56124	524.94440	862.46643	
14	0.130	-249.50566	27.35016	34.50869	328.52884	22.02020	129.01939	-330.08984	-4.74612	643.91571	212.55983	-13.74755	735.36353	80.53237	871.57135	-74.92901	-17.82010	565.27905	-32.14114	134.41406	570.17395	-9.59861	-149.09581	527.71399	839.45313	-9.72521	526.69110	862.68237	
15	0.140	-249.43715	27.30648	34.37464	328.42056	22.04662	128.87976	-330.19916	-4.63577	643.70599	212.53926	-13.77300	735.21545	80.49107	872.34570	-75.41590	-17.85415	567.27753	-32.09311	134.92662	572.05615	-9.38110	-150.01421	529.80450	839.50763	-10.11514	528.54022	862.79547	
