PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_body_motion_3_2-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-245.47823	17.16387	64.54596				-207.57945	-93.64251	701.93634	237.42436	-101.93977	709.04803	-22.57659	837.38409	-11.40584	-108.34307	574.89563	-29.82172	43.15683	581.05573	-42.17260	-39.61824	437.13068	840.60590	110.95151	435.73572	830.24280	
2	0.010	-245.47057	17.03432	64.51476				-207.61581	-93.68460	701.96613	237.48421	-101.95885	709.14484	-22.64856	837.52777	-10.72524	-108.56162	575.05902	-29.41976	43.10948	581.14447	-41.73539	-40.28219	436.79065	841.07770	110.74411	435.23080	830.38794	
3	0.020	-245.47159	16.98478	64.53986				-207.62604	-93.69617	701.99896	237.45793	-102.03182	709.15118	-22.58161	837.40466	-10.22705	-108.60633	575.00525	-29.04956	43.17933	580.76788	-40.83639	-39.37805	436.26627	840.86438	110.91566	434.77219	830.48456	
4	0.030	-245.45946	16.91176	64.58556				-207.61989	-93.64766	702.01807	237.52882	-102.06613	709.28162	-22.72418	837.13910	-9.86887	-108.78749	574.83752	-28.79858	42.97689	580.51617	-40.57609	-39.46489	436.06760	841.12762	110.99682	434.99628	831.71808	
5	0.040	-245.43269	16.80525	64.66457				-207.65326	-93.70104	702.05988	237.32018	-102.17381	709.30927	-22.87626	836.84814	-9.57522	-108.93599	574.58960	-28.36398	42.52094	580.69305	-40.80607	-39.53680	435.88364	841.41406	110.79725	434.34729	831.71503	
6	0.050	-245.48611	16.79169	64.66239				-207.66376	-93.67181	702.09589	237.39478	-102.13136	709.34015	-23.06786	836.54095	-9.26095	-109.18615	574.36786	-28.07519	42.70705	580.25922	-40.28410	-39.36876	435.29874	842.15082	110.52567	433.82031	831.71399	
7	0.060	-245.52299	16.74852	64.73498				-207.65108	-93.73064	702.11108	237.47237	-102.10968	709.38837	-23.21073	836.34210	-8.84964	-109.32413	574.12128	-27.68776	42.51797	579.93195	-39.46533	-39.48533	434.59970	842.63483	110.52872	433.03293	832.10522	
8	0.070	-245.46300	16.68862	64.75574				-207.68491	-93.71466	702.14142	237.48158	-102.09912	709.39508	-23.30208	836.10834	-8.26597	-109.29099	573.87170	-27.14234	42.54058	579.79688	-39.07660	-39.85224	434.24228	842.69049	110.33983	432.57333	832.35645	
9	0.080	-245.46321	16.67334	64.73125				-207.67395	-93.69394	702.16010	237.39482	-102.12690	709.44147	-23.35236	836.13550	-7.63495	-109.28097	573.79114	-26.75822	42.61181	579.74255	-38.69302	-39.84957	433.48264	842.99371	110.36189	431.99564	832.53235	
10	0.090	-245.45944	16.69414	64.79078				-207.67972	-93.69955	702.19495	237.44373	-102.15943	709.57623	-23.43705	836.08917	-7.06377	-109.25909	573.78778	-26.39126	42.51205	579.95709	-38.64785	-39.88951	432.51212	843.08911	110.32549	431.04575	833.05328	
11	0.100	-245.45993	16.71435	64.85092				-207.67758	-93.69750	702.24200	237.40976	-102.23856	709.70892	-23.39261	836.00604	-6.43483	-109.33495	573.81781	-26.08341	42.57407	579.92542	-38.29380	-40.03426	431.74173	843.43036	109.99699	430.50156	833.09766	
12	0.110	-245.42380	16.73366	64.91781				-207.67929	-93.69386	702.28143	237.40314	-102.23962	709.69751	-23.27696	836.04120	-5.63411	-109.54886	573.93585	-25.79451	42.58149	579.77551	-37.35678	-40.78494	431.14371	843.64551	110.15546	429.25906	833.61890	
13	0.120	-245.42970	16.73256	64.92915				-207.70087	-93.72933	702.31842	237.35068	-102.28022	709.80017	-23.36759	836.08820	-4.89570	-109.62455	573.99005	-25.34966	42.33904	579.87408	-37.05282	-40.31798	429.87906	843.71069	110.31633	428.67416	833.32666	
14	0.130	-245.38309	16.72631	64.98960				-207.68520	-93.78809	702.41351	237.30374	-102.34997	709.93420	-23.51095	836.07874	-4.28469	-109.65317	573.98663	-24.81524	42.09638	580.14539	-37.17484	-41.18554	429.66803	844.52539	109.87901	427.60129	834.33588	
15	0.140	-245.37833	16.73865	65.01955				-207.63957	-93.87399	702.52032	237.31998	-102.40321	709.95587	-23.55656	836.18958	-3.58929	-109.75075	574.06055	-24.42488	41.94923	580.25970	-36.75533	-41.17163	428.19888	844.47064	109.79731	426.60214	834.08392	
16	0.150	-245.39714	16.70168	65.04284				-207.59993	-93.90192	702.61871	237.32399	-102.41528	710.02063	-23.59940	836.25537	-2.80121	-109.84982	574.13135	-23.99664	42.00086	580.04120	-35.78092	-40.14414	426.98389	844.65112	109.90470	425.91003	834.67609	
