PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_motion_2_4-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	9	mm	100.00	1	      7000
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

20	0.190	-267.63150	21.31746	45.65895	249.94214	23.28982	9.30238	-218.51999	24.02921	641.17908	294.02914	18.35908	600.66785	-8.72484	871.81580	-165.03992	-91.97552	544.01166	-83.41541	59.56804	549.53363	-97.40279	-18.98756	556.47656	797.22302	132.88832	556.23798	788.32825	
21	0.200	-267.64151	21.32521	45.65713	249.97325	23.34689	9.33779	-218.52545	24.00192	641.16028	294.03845	18.37779	600.67767	-8.72547	872.31830	-165.53058	-91.96098	544.01727	-83.42279	59.59374	549.53271	-97.40020	-19.04731	556.51672	797.23627	132.83275	556.24200	788.30011	
22	0.210	-267.64664	21.33080	45.64541	249.98302	23.28783	9.26203	-218.55127	24.03465	641.13953	294.04724	18.36536	600.68463	-8.78223	873.01404	-165.91310	-91.93061	544.02075	-83.43150	59.69220	549.55133	-97.41026	-19.10950	556.51331	797.19165	132.82101	556.24872	788.28894	
23	0.220	-267.65323	21.34897	45.62829	249.89215	23.30579	9.28382	-218.55019	24.04025	641.13232	294.00195	18.39388	600.67560	-8.77923	873.76459	-166.20457	-91.94720	544.07037	-83.45857	59.62576	549.58380	-97.38132	-19.16622	556.53204	797.21869	132.70724	556.29089	788.30713	
24	0.230	-267.62091	21.31629	45.66018	249.98552	23.31835	9.29084	-218.54576	24.00100	641.13971	294.03882	18.38107	600.67316	-8.60112	874.38916	-166.47575	-91.87673	544.04083	-83.43658	59.60908	549.59235	-97.38033	-19.12762	556.51508	797.20367	132.67909	556.28033	788.30731	
25	0.240	-267.62793	21.32711	45.64355	250.04555	23.32346	9.33271	-218.52223	23.97173	641.14038	294.01205	18.39094	600.69342	-8.68650	874.99817	-166.87492	-91.96938	544.08661	-83.43342	59.59273	549.60236	-97.36086	-19.22262	556.50360	797.21106	132.60092	556.30444	788.29333	
26	0.250	-267.62903	21.34817	45.63829	249.96698	23.31669	9.27771	-218.54306	23.98845	641.14697	294.02795	18.38434	600.67780	-8.72245	875.76898	-167.35298	-91.94904	544.07037	-83.40335	59.61878	549.60541	-97.36410	-19.19375	556.50879	797.21906	132.63823	556.27679	788.32581	
27	0.260	-267.66492	21.34251	45.65279	250.02521	23.35576	9.30784	-218.59750	24.01590	641.13904	294.00238	18.41960	600.69470	-8.72349	876.24390	-167.82271	-91.94469	544.05786	-83.38984	59.59185	549.59308	-97.34846	-19.20645	556.53607	797.25159	132.57980	556.29486	788.32257	
28	0.270	-267.65237	21.31770	45.63354	250.03802	23.34809	9.32208	-218.56908	24.02712	641.10809	294.03821	18.42433	600.68286	-8.71244	876.84668	-168.19421	-91.92861	544.01306	-83.37468	59.62237	549.56757	-97.34782	-19.19880	556.51703	797.21814	132.58983	556.29730	788.32489	
29	0.280	-267.62210	21.30853	45.64100	249.95770	23.30430	9.31065	-218.58502	24.01406	641.14630	294.01050	18.42561	600.68829	-8.84114	877.61115	-168.64561	-91.92555	544.01093	-83.35148	59.62052	549.58252	-97.35372	-19.32611	556.47186	797.23889	131.69307	555.96716	787.53607	
30	0.290	-267.64999	21.34598	45.63416	249.98256	23.30807	9.33506	-218.56490	23.95803	641.15961	294.00281	18.37009	600.68298	-8.91284	878.17395	-168.90871	-91.95567	544.03076	-83.34763	59.59494	549.57892	-97.34932	-19.25675	556.45764	797.28009	132.55611	556.26447	788.31403	
31	0.300	-267.62012	21.32093	45.65192	249.87381	23.27084	9.28077	-218.54443	23.94941	641.19739	294.00275	18.39398	600.72150	-8.86327	878.73944	-169.39984	-91.98449	544.00714	-83.30792	59.51287	549.59918	-97.28701	-19.17637	556.51080	797.27203	132.61530	556.25128	788.35339	
32	0.310	-267.60553	21.30747	45.66883	250.06029	23.34078	9.38365	-218.56360	23.98817	641.18176	294.02921	18.38760	600.70825	-8.85106	879.48840	-169.81168	-91.93794	544.01227	-83.33997	59.52614	549.58246	-97.31007	-19.17786	556.46625	797.25574	132.68390	556.25403	788.34375	
33	0.320	-267.64737	21.33747	45.65636	249.96281	23.30453	9.29447	-218.53848	23.99738	641.17908	294.03412	18.38703	600.67377	-8.93906	880.09479	-170.34039	-91.98568	544.05511	-83.32282	59.50574	549.58252	-97.30129	-19.20701	556.46643	797.30341	132.72481	556.24963	788.35876	
34	0.330	-267.60559	21.33643	45.67516	250.04178	23.36544	9.33158	-218.56316	24.02120	641.15729	294.05621	18.40184	600.67560	-9.02124	880.65332	-170.69963	-91.96362	543.99762	-83.27969	59.50087	549.58850	-97.30426	-19.16420	556.47528	797.27765	132.66888	556.25574	788.32611	
35	0.340	-267.65842	21.33998	45.65416	250.01503	23.31685	9.31275	-218.53979	23.99145	641.12451	294.02246	18.40336	600.66925	-8.87144	881.28326	-170.98492	-91.95700	544.04651	-83.31567	59.50626	549.58167	-97.29932	-19.20750	556.48700	797.32281	132.69472	556.27380	788.34808	
36	0.350	-267.64120	21.35677	45.65603	249.96194	23.31171	9.26177	-218.51137	23.96915	641.17950	294.02740	18.38671	600.68842	-8.89613	882.04895	-171.42465	-91.95819	544.19067	-83.25391	59.62864	549.60199	-97.35320	-19.13943	556.51685	797.30212	132.69542	556.26093	788.34796	
37	0.360	-267.61652	21.32948	45.65076	250.00764	23.30091	9.28012	-218.53278	23.99874	641.16888	294.03363	18.39735	600.70221	-9.00299	882.71680	-171.91507	-91.95103	544.04138	-83.32201	59.53654	549.60168	-97.31593	-19.15568	556.54572	797.31097	132.72266	556.24500	788.35785	
38	0.370	-267.62708	21.34144	45.66668	249.95461	23.28105	9.32812	-218.52313	23.97284	641.19379	294.02997	18.38975	600.68335	-8.88347	883.23914	-172.30933	-91.92123	544.02631	-83.31197	59.57932	549.58832	-97.33006	-19.19192	556.51941	797.32178	132.67012	556.27087	788.35339	
39	0.380	-267.62292	21.34327	45.65756	250.03870	23.33422	9.31382	-218.55530	24.03764	641.14148	294.05862	18.37979	600.67511	-8.73765	883.83154	-172.73418	-91.86518	544.01398	-83.31126	59.59440	549.59216	-97.32559	-19.15353	556.55695	797.28064	132.73972	556.26208	788.36530	
40	0.390	-267.64447	21.36499	45.64403	249.90567	23.29621	9.23367	-218.54573	24.02186	641.16064	294.04074	18.39209	600.68683	-8.85681	884.52441	-173.08835	-91.87412	544.01947	-83.32396	59.62329	549.59161	-97.32457	-19.17441	556.52332	797.28180	132.65895	556.27100	788.34900	
41	0.400	-267.59186	21.33230	45.64771	250.06436	23.34650	9.33402	-218.51091	23.97146	641.16504	294.02658	18.38660	600.69269	-8.94107	884.97760	-173.50484	-91.84937	544.05164	-83.34306	59.61883	549.58350	-97.32217	-19.12166	556.52942	797.30920	132.62743	556.27563	788.32788	
42	0.410	-267.61423	21.36106	45.63477	249.93246	23.28154	9.27780	-218.52948	23.98111	641.17474	294.01639	18.39035	600.71930	-9.07988	885.54950	-173.91827	-91.82899	544.01654	-83.36980	59.70461	549.58728	-97.33897	-19.20432	556.52545	797.31256	132.59280	556.26862	788.34186	
43	0.420	-267.59695	21.34674	45.66707	249.98721	23.27291	9.30163	-218.53262	23.96036	641.15320	293.99396	18.37742	600.70062	-8.92495	886.13275	-174.34605	-91.80425	544.04968	-83.37012	59.72943	549.56451	-97.33645	-19.23556	556.50214	797.28448	132.58788	556.26166	788.34125	
44	0.430	-267.61658	21.33824	45.65163	250.03116	23.34946	9.32677	-218.56245	24.01497	641.14807	294.02182	18.40657	600.68573	-8.94209	886.70087	-174.74319	-91.80756	544.00543	-83.34441	59.70794	549.58240	-97.32624	-19.24373	556.53149	797.28308	132.56094	556.27771	788.33832	
45	0.440	-267.57758	21.33763	45.63846	250.00485	23.29292	9.29237	-218.56857	24.03160	641.15979	294.01804	18.42320	600.68829	-8.93920	887.28363	-175.09395	-91.85123	544.03027	-83.35153	59.70827	549.55096	-97.32637	-19.19234	556.54626	797.32056	132.61230	556.27295	788.33728	
46	0.450	-267.62054	21.32320	45.63840	250.09979	23.33205	9.33994	-218.53578	24.01455	641.13672	294.01892	18.41615	600.69281	-8.99207	887.79266	-175.51585	-91.82438	544.02600	-83.31116	59.72244	549.57001	-97.31989	-19.19673	556.53168	797.32312	132.61699	556.28107	788.33649	
47	0.460	-267.60867	21.31878	45.63503	250.04193	23.32356	9.30132	-218.52203	23.99339	641.17151	294.03778	18.41674	600.71283	-8.94572	888.28217	-175.99799	-91.86710	544.01355	-83.30974	59.71188	549.56805	-97.31151	-19.25110	556.50604	797.30042	132.69998	556.26019	788.35474	
48	0.470	-267.58887	21.32484	45.65369	249.99919	23.30210	9.33666	-218.54037	23.99045	641.17993	294.02435	18.38001	600.70453	-9.07634	888.92279	-176.34990	-91.89391	544.00848	-83.29980	59.66807	549.56061	-97.30184	-19.15738	556.54004	797.33295	132.61086	556.27332	788.35089	
49	0.480	-267.59073	21.31943	45.67239	249.96117	23.29079	9.25998	-218.53679	23.98212	641.16357	294.05118	18.39185	600.71344	-9.09060	889.50690	-176.72672	-91.81651	543.98297	-83.28619	59.67799	549.58679	-97.30128	-19.15923	556.52539	797.32300	132.63734	556.26129	788.34302	
50	0.490	-267.61957	21.32749	45.64224	249.93158	23.32531	9.27652	-218.55238	24.02980	641.13727	294.03555	18.40343	600.69727	-9.04969	890.07709	-177.03596	-91.84979	543.98407	-83.27280	59.62759	549.60217	-97.28696	-19.12257	556.54437	797.33081	132.60681	556.29114	788.38239	
51	0.500	-267.61438	21.32995	45.62954	250.00958	23.31084	9.30622	-218.58180	24.01581	641.13788	294.04224	18.40254	600.66895	-8.94495	890.57684	-177.53619	-91.87485	544.01086	-83.24639	59.57745	549.59686	-97.29136	-19.16450	556.51611	797.37543	132.65907	556.26331	788.36572	
52	0.510	-267.62216	21.31167	45.64933	249.87047	23.25694	9.21369	-218.56421	24.01140	641.17432	294.05487	18.37828	600.72998	-8.96095	891.25482	-178.00513	-91.87972	544.00177	-83.23982	59.55799	549.59143	-97.26242	-19.17639	556.52222	797.37213	132.57892	556.26758	788.36340	
53	0.520	-267.61591	21.30963	45.66341	250.07901	23.35101	9.33684	-218.54587	23.98151	641.18005	294.02695	18.37993	600.69647	-9.03412	891.95160	-178.49156	-91.93475	544.01355	-83.21561	59.53749	549.61755	-97.25126	-19.13668	556.50793	797.41064	132.64943	556.25061	788.38379	
