PathFileType	4	(X/Y/Z)	D:\TRACE\spot_10-12-23\spot_arm_body_motion_3_7-platform.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7000	5	mm	100.00	1	      7000
Frame#	Time	Left_Front			Right_Front			Left_Aft			Right_Aft			Post			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	

1	0.000	-820.12390	123.36990	-602.51617	752.84991	126.67570	-595.61603	-736.49628	-79.07858	517.24701	681.04108	-89.95343	602.35742	-37.23228	905.90735	-784.39172	
2	0.010	-820.12537	123.36446	-602.54950	752.83069	126.69508	-595.62073	-736.47955	-79.06178	517.24463	681.03387	-89.95104	602.34906	-37.22573	905.93555	-784.40088	
3	0.020	-820.08118	123.30138	-602.50378	752.85205	126.67826	-595.61267	-736.47937	-79.06872	517.21930	680.97754	-89.93384	602.34497	-37.20405	905.85059	-784.31470	
4	0.030	-820.08276	123.32964	-602.51630	752.82507	126.70213	-595.63013	-736.52063	-79.04961	517.23920	680.98645	-89.91888	602.30237	-37.21357	905.89319	-784.38715	
5	0.040	-820.10608	123.32803	-602.55157	752.84027	126.68390	-595.65131	-736.52826	-79.01672	517.25122	681.02264	-89.91283	602.36163	-37.30166	905.84277	-784.36292	
6	0.050	-820.09857	123.33626	-602.55499	752.84546	126.67867	-595.60474	-736.43555	-79.06253	517.19409	681.01398	-89.92655	602.37085	-37.24822	905.85773	-784.37628	
7	0.060	-820.09613	123.34795	-602.53430	752.82196	126.67922	-595.62958	-736.45435	-79.08768	517.25140	680.98932	-89.95364	602.32159	-37.21598	905.86060	-784.36731	
8	0.070	-820.09204	123.31319	-602.52295	752.82410	126.67750	-595.62695	-736.47156	-79.09207	517.22021	681.03235	-89.93018	602.37579	-37.21696	905.85907	-784.36298	
9	0.080	-820.10455	123.34709	-602.52448	752.84204	126.69865	-595.59149	-736.48456	-79.08319	517.21796	681.01898	-89.96043	602.38177	-37.20530	905.89917	-784.36145	
10	0.090	-820.11218	123.35047	-602.51935	752.84564	126.69072	-595.61169	-736.50653	-79.04370	517.20172	680.98047	-89.96533	602.36530	-37.25917	905.87256	-784.27917	
11	0.100	-820.00305	123.31272	-602.56061	752.83398	126.70918	-595.61353	-736.47162	-79.06419	517.25293	681.00037	-89.95651	602.36102	-37.32636	905.83673	-784.30176	
12	0.110	-820.05115	123.33480	-602.56128	752.83350	126.68746	-595.63947	-736.49982	-79.04737	517.22400	681.02557	-89.92624	602.36328	-37.25544	905.87842	-784.36591	
13	0.120	-820.00934	123.29456	-602.57257	752.84631	126.68139	-595.58618	-736.42664	-79.07239	517.23395	681.03577	-89.93571	602.33862	-37.20839	905.86835	-784.34119	
14	0.130	-820.02271	123.32764	-602.59534	752.84955	126.70303	-595.59332	-736.45404	-79.09851	517.25275	681.02319	-89.92117	602.33276	-37.21478	905.84778	-784.36719	
15	0.140	-819.99554	123.31860	-602.55786	752.86469	126.69773	-595.59674	-736.51862	-79.05681	517.22333	680.99200	-89.95940	602.32153	-37.25320	905.85510	-784.36072	
16	0.150	-820.09381	123.33997	-602.52557	752.84271	126.65954	-595.61383	-736.44617	-79.08288	517.22382	681.00256	-89.90980	602.34937	-37.23747	905.80963	-784.31317	
17	0.160	-820.10608	123.35515	-602.53088	752.82068	126.68892	-595.58014	-736.46301	-79.05302	517.25128	680.98993	-89.94364	602.36584	-37.30697	905.81622	-784.32373	
18	0.170	-820.06836	123.34402	-602.55585	752.85028	126.70002	-595.62549	-736.45483	-79.06918	517.23248	681.00006	-89.92219	602.36108	-37.19466	905.87354	-784.41571	
19	0.180	-820.04828	123.33831	-602.55396	752.84076	126.67847	-595.61255	-736.45917	-79.05969	517.24597	680.97253	-89.92312	602.35840	-37.21624	905.91730	-784.40454	
20	0.190	-820.07819	123.34277	-602.53601	752.86322	126.70798	-595.60602	-736.48584	-79.06217	517.22400	680.99249	-89.94791	602.33435	-37.20388	905.89490	-784.39709	
21	0.200	-820.09491	123.34224	-602.50537	752.81494	126.68026	-595.63086	-736.49695	-79.05320	517.21594	681.02850	-89.94754	602.32361	-37.22974	905.88635	-784.34949	
22	0.210	-820.08801	123.34505	-602.52020	752.83472	126.67982	-595.60236	-736.44556	-79.02948	517.24762	681.02112	-89.95487	602.38733	-37.28101	905.86133	-784.34045	
23	0.220	-820.10638	123.37913	-602.53094	752.84717	126.71197	-595.62061	-736.46765	-79.05228	517.22345	680.98553	-89.91871	602.33453	-37.21487	905.84723	-784.22998	
24	0.230	-820.08893	123.33593	-602.52771	752.86108	126.70583	-595.58746	-736.45410	-79.05513	517.23657	681.03467	-89.91699	602.36768	-37.24776	905.84460	-784.30859	
25	0.240	-820.04742	123.34328	-602.56970	752.86475	126.68335	-595.56659	-736.45227	-79.01523	517.23041	681.03082	-89.93414	602.34271	-37.19847	905.85907	-784.32867	
26	0.250	-820.07434	123.34097	-602.52747	752.83038	126.67877	-595.61981	-736.50671	-79.05288	517.23206	680.99115	-89.95566	602.34692	-37.23339	905.86841	-784.35400	
27	0.260	-820.10870	123.35107	-602.51514	752.80719	126.66196	-595.60596	-736.50989	-79.03809	517.23871	681.00348	-89.94067	602.35181	-37.26008	905.88843	-784.36230	
28	0.270	-820.07544	123.33081	-602.51270	752.81274	126.72402	-595.62207	-736.47925	-79.08972	517.23474	680.99786	-89.97684	602.39313	-37.19662	905.89722	-784.40100	
29	0.280	-820.09528	123.36026	-602.47058	752.82874	126.67757	-595.61066	-736.44739	-79.11256	517.23883	681.00806	-89.94824	602.36023	-37.16196	905.88843	-784.46033	
30	0.290	-820.05762	123.34753	-602.53265	752.84253	126.73977	-595.62244	-736.49408	-79.06641	517.22351	681.03058	-89.96120	602.36652	-37.16330	905.87329	-784.37451	
31	0.300	-820.11176	123.37858	-602.50201	752.83704	126.70979	-595.64252	-736.49268	-79.06590	517.22235	680.99933	-89.92995	602.34601	-37.20531	905.86084	-784.39276	
32	0.310	-820.12537	123.37160	-602.51404	752.84369	126.70568	-595.62158	-736.51343	-79.07560	517.18774	681.01483	-89.94764	602.39368	-37.24064	905.88940	-784.37567	
33	0.320	-820.10059	123.35474	-602.47290	752.83929	126.70192	-595.62750	-736.46338	-79.06940	517.25165	681.00970	-89.92787	602.36328	-37.24240	905.89661	-784.34528	
34	0.330	-820.06451	123.30432	-602.51398	752.84271	126.68663	-595.61798	-736.49249	-79.04971	517.19952	681.03046	-89.94996	602.36462	-37.22494	905.88647	-784.33350	
