Time,postX,postY,postZ,wristX,wristY,wristZ
0.75,6.67408,1297.0706,976.65699,-78.54212,1197.5263,202.30805
0.76,6.65276,1297.0558,976.69697,-78.8076,1197.6797,201.03458
0.77,6.62659,1297.1147,976.70683,-79.19727,1197.816,200.06358
0.78,6.6526,1297.1078,976.67528,-79.79038,1197.9309,198.6659
0.79,6.63951,1297.0802,976.53475,-80.18272,1198.0257,196.97897
0.8,6.6263,1297.0249,976.52256,-80.61169,1197.8388,195.9211
0.81,6.56208,1296.9911,976.47357,-80.47689,1197.8326,194.56868
0.82,6.61446,1297.0557,976.55373,-80.21352,1197.7522,193.47528
0.83,6.60037,1297.0263,976.65552,-80.259,1197.9765,192.81987
0.84,6.66375,1297.0358,976.69639,-80.56728,1198.8689,192.30923
0.85,6.60876,1297.1638,976.4103,-80.81139,1200.3437,191.17576
0.86,6.67401,1297.4411,976.00126,-81.84264,1201.8629,189.30805
0.87,6.52223,1297.1702,976.24511,-83.08176,1202.7914,187.0686
0.88,6.39218,1297.0785,976.34867,-84.0795,1202.5578,184.89153
0.89,6.65591,1297.1572,976.5544,-84.84472,1201.9189,183.44643
0.9,6.65053,1297.2853,976.63637,-85.21974,1200.5235,182.5042
0.91,6.83558,1297.2853,976.69253,-84.86268,1198.7771,182.09597
0.92,6.72603,1297.2492,976.74428,-83.69579,1197.1839,181.73619
0.93,6.70994,1297.206,976.69941,-82.31247,1195.5799,180.9136
0.94,6.58305,1297.2431,976.47857,-81.55378,1193.6956,179.7877
0.95,6.6363,1297.1951,976.48828,-81.08878,1191.7667,178.9766
0.96,6.62542,1297.1563,976.37757,-81.1188,1189.7706,178.31512
0.97,6.61501,1297.4446,975.94869,-81.30067,1187.4612,177.27776
0.98,6.66511,1297.2528,976.09811,-81.37714,1185.32,176.96538
0.99,6.50571,1297.1809,976.09177,-80.78474,1183.4271,176.84885
1,6.50179,1297.1379,976.1702,-79.96859,1181.3784,176.45644
1.01,6.60533,1297.208,976.37826,-78.67432,1179.5433,176.05314
1.02,6.62278,1297.2066,976.49659,-77.33851,1177.9656,175.54608
1.03,6.64402,1297.1496,976.67134,-76.25983,1176.4995,174.97521
1.04,6.77333,1297.1687,976.5623,-75.98933,1175.3335,174.11267
1.05,6.54655,1297.0659,976.5326,-75.78276,1174.1632,173.43984
1.06,6.50271,1297.0961,976.61804,-75.60793,1173.0292,172.479
1.07,6.63866,1297.1247,976.67933,-75.32967,1172.0392,171.49038
1.08,6.73812,1297.1892,976.61487,-74.58663,1171.4329,170.37699
1.09,6.7484,1297.0874,976.6401,-73.74032,1170.9335,169.23741
1.1,6.70545,1297.0852,976.53742,-72.3721,1170.4276,168.03014
1.11,6.49521,1296.9977,976.59952,-71.36015,1169.9346,167.02551
1.12,6.64492,1297.0878,976.62569,-70.61507,1169.7677,165.76004
1.13,6.58857,1297.1504,976.54599,-70.13048,1169.622,164.22874
