Time,postX,postY,postZ,wristX,wristY,wristZ
0.73,6.6934425,1296.367,977.54135,-34.660598,1169.8999,297.74173
0.74,6.7000225,1296.4351,977.58034,-35.129848,1169.5433,296.64326
0.75,6.6628525,1296.4439,977.54938,-35.349758,1169.3705,295.8168
0.76,6.5963525,1296.3589,977.6652,-35.779808,1169.1347,295.0504
0.77,6.6065125,1296.5012,977.38572,-36.275628,1169.0553,293.86621
0.78,6.6381825,1296.6123,977.30983,-36.390458,1169.369,293.59036
0.79,6.7869625,1296.8266,976.98286,-36.697048,1170.3848,293.18546
0.8,6.8017825,1296.9518,976.82826,-37.217508,1171.8387,293.14476
0.81,6.5909125,1296.9742,976.6876,-37.932508,1173.4931,292.60506
0.82,6.4861225,1296.8406,976.72609,-38.870028,1174.5114,291.3884
0.83,6.5497025,1296.9067,976.70223,-39.530858,1175.6351,289.58887
0.84,6.6206025,1296.9111,976.65422,-40.479588,1176.4721,287.77526
0.85,6.6733925,1296.9816,976.70589,-41.294638,1176.973,286.36816
0.86,6.7265725,1296.8862,976.84189,-41.770268,1177.2861,285.86058
0.87,6.6187025,1296.9437,976.78685,-41.665108,1177.3842,285.44938
0.88,6.6800525,1297.0093,976.69524,-41.599148,1177.6088,283.90757
0.89,6.7231125,1296.9739,976.79402,-40.774768,1178.1076,282.80783
0.9,6.6769925,1296.9881,976.9864,-40.160718,1178.5373,282.02928
0.91,6.7327225,1297.0554,977.02118,-39.490978,1178.6417,281.32632
0.92,6.8269625,1297.0432,976.86621,-39.292918,1178.4628,281.24843
0.93,6.6675825,1297.0393,976.58858,-39.311028,1178.2359,281.19557
0.94,6.5573625,1297.0079,976.45326,-39.327188,1177.8585,281.01308
0.95,6.6215525,1297.0396,976.44917,-39.127058,1177.8204,280.91858
0.96,6.6869425,1297.1017,976.51674,-38.756038,1177.8655,280.54392
0.97,6.6209825,1297.0821,976.62366,-38.055388,1178.016,279.84001
0.98,6.6324625,1297.0599,976.67442,-37.823998,1178.1712,279.38435
0.99,6.8149725,1297.1233,976.58329,-37.866758,1178.1753,278.88167
1,6.6414325,1297.1083,976.58711,-38.127428,1178.084,278.54927
1.01,6.6807825,1297.0834,976.69373,-38.327048,1177.8844,278.05184
1.02,6.7203725,1297.1332,976.82192,-38.558898,1177.9059,277.29883
1.03,6.7964925,1297.185,976.69316,-38.337338,1178.0391,276.82615
1.04,6.7456325,1297.1008,976.5613,-37.794868,1177.9019,276.03779
1.05,6.7034825,1297.1254,976.44102,-37.227668,1178.023,275.60647
1.06,6.6634625,1297.1451,976.49044,-36.971088,1177.6404,275.38809
1.07,6.6780925,1297.2584,976.49472,-36.655498,1177.6255,275.23562
1.08,6.7806425,1297.2231,976.60537,-36.238288,1177.6967,275.12927
1.09,6.7817125,1297.2787,976.47289,-35.939388,1177.7201,274.62461
1.1,6.6741325,1297.1515,976.43156,-35.888858,1177.5834,274.11836
1.11,6.6599425,1297.1981,976.42946,-35.744648,1177.6437,273.77319
1.12,6.6100125,1297.1933,976.38085,-35.453038,1177.7916,273.22749
1.13,6.6281025,1297.1808,976.4273,-35.057288,1177.93,272.821
1.14,6.7459025,1297.2032,976.39701,-34.561938,1177.8349,272.30214
1.15,6.7601725,1297.1901,976.44287,-34.041118,1177.9162,271.76705
1.16,6.5975925,1297.0278,976.55592,-33.381368,1178.0195,271.27522
1.17,6.6936025,1296.973,976.79662,-32.497568,1178.5135,270.98032
1.18,6.7236425,1297.1278,976.70853,-31.252658,1179.8135,269.95157
1.19,6.6787125,1297.2907,976.60774,-29.688728,1181.1447,269.10484
1.2,6.5074425,1297.0655,976.76796,-27.984108,1182.0879,269.47923
1.21,6.6851425,1297.0485,976.72897,-27.027448,1182.6936,269.80069
1.22,6.7155525,1297.1503,976.6385,-26.518898,1183.1027,269.6539
1.23,6.7672225,1297.1077,976.80179,-26.236498,1183.4698,269.23854
1.24,6.7884325,1297.15,976.74189,-26.042848,1183.7209,268.42116
1.25,6.7121525,1296.9908,976.69161,-26.099798,1183.8086,267.59373
1.26,6.4976925,1297.0961,976.34115,-25.460738,1183.8387,266.5671
1.27,6.6228925,1297.0657,976.33978,-24.999258,1183.7945,266.1646
1.28,6.5223825,1296.8319,976.63952,-24.772848,1183.6339,266.1556
1.29,6.6670025,1296.9937,976.78272,-24.767708,1183.5618,265.97037
1.3,6.7769425,1297.1529,976.83806,-24.861748,1183.4662,265.86115
1.31,6.7862125,1297.049,976.87634,-25.091548,1183.3083,265.88588
1.32,6.6161625,1297.052,976.61843,-25.704158,1183.0506,265.5788
1.33,6.6031425,1296.9781,976.61699,-26.482918,1182.8408,265.32999
1.34,6.6742525,1297.0593,976.61317,-26.837258,1182.8197,265.08529
1.35,6.6474825,1297.0422,976.69229,-27.218838,1182.831,264.68459
1.36,6.8189825,1297.1029,976.71116,-27.426788,1182.767,264.23477
