Time,postX,postY,postZ,wristX,wristY,wristZ
0.75,35.323407,1284.0242,986.87717,8.4383875,1190.4099,247.71035
0.76,35.446827,1284.1442,986.80295,8.4424375,1190.3807,247.66761
0.77,35.403027,1284.0897,986.80335,8.4066575,1190.411,247.69694
0.78,35.440797,1284.1128,986.72541,8.4428875,1190.3848,247.70685
0.79,35.358827,1284.0738,986.89213,8.4653075,1190.4185,247.75536
0.8,35.424997,1284.1398,986.88429,8.4243875,1190.3964,247.73212
0.81,35.451287,1284.148,986.86346,8.4431275,1190.3959,247.71015
0.82,35.409287,1284.1368,986.85854,8.4419375,1190.3854,247.71918
0.83,35.432977,1284.1298,986.85256,8.4269575,1190.4004,247.73417
0.84,35.418847,1284.1071,986.84823,8.4443475,1190.3929,247.71321
0.85,35.462957,1284.1129,986.87294,8.4337775,1190.4127,247.71259
0.86,35.416947,1284.1185,986.88182,8.4608375,1190.4144,247.71635
0.87,35.435607,1284.1043,986.88473,8.4424175,1190.3941,247.72897
0.88,35.414467,1284.0868,986.88607,8.4675475,1190.4001,247.77427
0.89,35.409077,1284.0715,986.86699,8.4096375,1190.3581,247.71684
0.9,35.417307,1284.0735,986.90662,8.4272475,1190.3876,247.75448
0.91,35.455137,1284.1098,986.8587,8.4243275,1190.3801,247.68257
0.92,35.434617,1284.1342,986.83059,8.4502975,1190.4073,247.61193
0.93,35.391497,1284.1091,986.82963,8.4370875,1190.3905,247.64052
0.94,35.449387,1284.0333,986.9339,8.4141775,1190.3719,247.75067
0.95,35.426757,1284.1285,986.83896,8.4659275,1190.4113,247.67918
0.96,35.434877,1284.1099,986.89165,8.4370575,1190.3721,247.69607
0.97,35.447907,1284.1242,986.90288,8.4560675,1190.3916,247.68518
0.98,35.422587,1284.1039,986.89701,8.4373875,1190.4014,247.72888
0.99,35.440507,1284.092,986.88871,8.4261875,1190.3756,247.76205
1,35.460977,1284.0986,986.85669,8.4267275,1190.3617,247.70415
1.01,35.442847,1284.1438,986.86625,8.4495075,1190.3862,247.73671
1.02,35.458017,1284.0967,986.89916,8.4359075,1190.3959,247.77358
1.03,35.495817,1284.1214,986.86295,8.4854075,1190.4093,247.73357
1.04,35.418947,1284.0833,986.91937,8.4243775,1190.3962,247.77629
1.05,35.425207,1284.0961,986.89467,8.4523075,1190.3798,247.76945
1.06,35.409647,1284.0353,986.92726,8.4434875,1190.3419,247.7604
1.07,35.396487,1284.0123,986.91579,8.3746675,1190.3672,247.78473
1.08,35.476377,1284.1973,986.80023,8.4341975,1190.4255,247.64373
1.09,35.429447,1284.1025,986.87735,8.4439275,1190.3451,247.72382
1.1,35.392597,1284.0457,986.88372,8.4169675,1190.3895,247.72941
1.11,35.476627,1284.1456,986.82553,8.4221875,1190.3904,247.7124
1.12,35.419857,1284.1197,986.81741,8.4499675,1190.3875,247.72592
1.13,35.457227,1284.1404,986.83942,8.4708775,1190.3894,247.77115
1.14,35.455517,1284.1487,986.85903,8.4370675,1190.3813,247.7154
1.15,35.438397,1284.1649,986.8216,8.4621575,1190.4306,247.73617
1.16,35.456797,1284.175,986.83238,8.4325475,1190.3859,247.69982
1.17,35.489117,1284.134,986.89749,8.5059175,1190.4019,247.78136
1.18,35.437667,1284.1062,986.93621,8.4514275,1190.3685,247.81622
1.19,35.462537,1284.2172,986.86113,8.4465775,1190.4004,247.69183
1.2,35.422087,1284.17,986.89793,8.4704875,1190.4157,247.73123
1.21,35.507397,1284.2076,986.83083,8.4417875,1190.4076,247.68318
1.22,35.456607,1284.1196,986.87552,8.4501175,1190.3724,247.72196
1.23,35.417317,1284.0343,986.94854,8.4507575,1190.3898,247.81466
1.24,35.410767,1284.1098,986.92206,8.4454575,1190.4005,247.71299
1.25,35.465197,1284.1243,986.94569,8.4820675,1190.3946,247.75518
1.26,35.447787,1284.1056,986.88348,8.4295775,1190.3695,247.72153
1.27,35.409587,1284.0658,986.8888,8.4668875,1190.3701,247.74096
1.28,35.431257,1284.1496,986.78941,8.4601475,1190.4246,247.71226
1.29,35.445087,1284.1025,986.89364,8.4474275,1190.3881,247.68059
1.3,35.452347,1284.1403,986.86711,8.4943075,1190.395,247.73643
1.31,35.420807,1284.1604,986.81455,8.4531275,1190.4115,247.69401
1.32,35.462477,1284.1394,986.84631,8.5199675,1190.4161,247.70068
1.33,35.488777,1284.1469,986.84058,8.4603175,1190.3807,247.66566
1.34,35.464167,1284.0974,986.91802,8.4909675,1190.398,247.79596
1.35,35.427077,1284.1282,986.85647,8.4684475,1190.3869,247.73115
1.36,35.408787,1284.145,986.84189,8.4502175,1190.3633,247.69717
1.37,35.467907,1284.1575,986.90242,8.4264675,1190.5588,247.65985
1.38,35.528797,1284.1609,986.86722,8.4725175,1190.3876,247.6581
1.39,35.459907,1284.0927,986.88773,8.4651675,1190.3914,247.76802
1.4,35.428967,1284.1425,986.85952,8.4527675,1190.3998,247.74032
1.41,35.458417,1284.2491,986.73621,8.4711975,1190.4455,247.61789
1.42,35.396687,1284.1211,986.86063,8.4412175,1190.3956,247.73092
1.43,35.480257,1284.0954,986.89867,8.4840175,1190.4169,247.74336
1.44,35.432547,1284.0508,986.90384,8.4582275,1190.3696,247.77434
1.45,35.438357,1284.1149,986.80399,8.4495775,1190.4077,247.68329
1.46,35.390667,1284.1725,986.75276,8.4898875,1190.4444,247.63721
1.47,35.377977,1284.1468,986.8083,8.4875975,1190.4597,247.70132
1.48,35.439307,1284.0948,986.90012,8.4497475,1190.3858,247.76867
1.49,35.478957,1284.0724,986.90841,8.4678975,1190.4154,247.72935
1.5,35.472657,1284.0916,986.88981,8.4361275,1190.3853,247.75414
1.51,35.428207,1284.1174,986.88969,8.4386975,1190.3921,247.75313
1.52,35.418137,1284.1224,986.87835,8.4647975,1190.3884,247.70878
1.53,35.447637,1284.1903,986.81412,8.4332275,1190.3876,247.66906
1.54,35.420667,1284.0773,986.93337,8.4745875,1190.3966,247.7491
1.55,35.420017,1284.1197,986.82502,8.4772575,1190.392,247.70714
1.56,35.475247,1284.0688,986.92349,8.4729175,1190.413,247.75953
1.57,35.396407,1284.1308,986.84397,8.4291975,1190.3978,247.66593
1.58,35.427207,1284.083,986.90294,8.4299775,1190.3866,247.77558
1.59,35.388837,1284.1525,986.78755,8.4385275,1190.3924,247.63956
1.6,35.441177,1284.0907,986.86751,8.4772275,1190.3931,247.72396
1.61,35.380757,1284.0634,986.85007,8.4762775,1190.4045,247.71712
1.62,35.428897,1284.0864,986.87395,8.4661775,1190.4031,247.67104
1.63,35.397247,1284.0834,986.88017,8.4548175,1190.3989,247.73451
1.64,35.484827,1284.1188,986.93168,8.4774275,1190.4047,247.72885
1.65,35.471907,1284.1228,986.84137,8.4635175,1190.3919,247.71814
1.66,35.470177,1284.0889,986.85678,8.4574175,1190.4085,247.73094
1.67,35.479397,1284.0563,986.93918,8.4410375,1190.3765,247.78669
1.68,35.443807,1284.1191,986.84262,8.4464075,1190.3839,247.70408
1.69,35.467917,1284.1521,986.9079,8.4565575,1190.3921,247.76015
1.7,35.453527,1284.2051,986.80383,8.4638775,1190.3879,247.69208
1.71,35.463607,1284.092,986.90129,8.4718175,1190.3979,247.76795
1.72,35.445827,1284.1193,986.85228,8.5168075,1190.4014,247.73238
1.73,35.428367,1284.1522,986.86736,8.4508275,1190.3793,247.67445
1.74,35.443837,1284.1986,986.75567,8.4763675,1190.3858,247.62822
1.75,35.452137,1284.1253,986.83264,8.4865975,1190.4142,247.67561
1.76,35.429897,1284.0875,986.95108,8.4712575,1190.3854,247.76001
1.77,35.454667,1284.1277,986.85066,8.4499675,1190.4057,247.67159
1.78,35.425097,1284.0784,986.91087,8.4525875,1190.3738,247.76685
1.79,35.453427,1284.1643,986.77678,8.4947675,1190.3936,247.69625
