Time,postX,postY,postZ,wristX,wristY,wristZ
0.75,6.9842825,1297.291,976.18999,79.511542,1190.4902,215.21094
0.76,6.8649925,1297.2811,976.02704,79.031032,1190.3643,215.6922
0.77,6.7858225,1297.2315,976.09935,78.842862,1190.2914,216.46292
0.78,6.8826525,1297.2174,976.21569,78.532062,1190.3131,217.15905
0.79,6.9595425,1297.2737,976.26516,78.176272,1190.3865,217.87466
0.8,6.9367425,1297.2965,976.3375,77.879582,1190.3429,218.38607
0.81,7.0645125,1297.3371,976.30251,77.574102,1190.3468,218.98397
0.82,6.9484125,1297.3751,976.20329,77.402952,1190.4276,219.69072
0.83,6.9627725,1297.1236,976.63376,77.097822,1190.3669,220.48399
0.84,6.9506025,1297.0819,976.85058,76.573122,1190.4103,220.88209
0.85,6.9062525,1297.0604,976.76652,76.192202,1190.5733,221.36246
0.86,6.9750925,1297.08,976.56244,75.415482,1190.435,221.7624
0.87,6.9020925,1296.9872,976.44979,74.984492,1190.5155,222.69997
0.88,6.8815325,1296.922,976.47336,74.089342,1190.7233,223.96845
0.89,6.8884625,1296.8667,976.64042,73.742082,1191.0758,225.7464
0.9,6.9020925,1296.9104,976.68281,73.287492,1191.8433,227.79185
0.91,7.2789525,1297.1768,976.37796,72.049472,1193.0216,229.9007
0.92,6.9630125,1297.0761,976.25874,71.242262,1193.7975,232.31836
0.93,6.8307925,1296.9151,976.33103,70.674792,1194.0813,234.1279
0.94,6.7277025,1296.8405,976.47517,70.152102,1194.0609,234.78233
0.95,6.8659625,1296.9716,976.72073,69.421382,1193.9568,234.87615
0.96,6.8829025,1297.0903,977.03743,68.351652,1194.0757,234.414
0.97,7.0470425,1296.9535,977.34964,68.089022,1194.1373,234.44031
0.98,7.0814525,1296.9709,977.32995,67.732772,1194.2032,234.79036
0.99,6.9663425,1296.9642,977.19212,67.333872,1194.2788,235.78942
1,6.7307325,1296.8538,976.95366,67.095782,1194.1973,236.63392
1.01,6.9574625,1296.9012,977.05196,66.387512,1194.1259,237.5968
1.02,6.9245025,1296.9173,976.79825,65.546042,1193.8493,237.9886
1.03,6.9963525,1296.9598,976.40967,65.216462,1193.6576,238.38835
1.04,6.8283825,1296.8853,976.27624,65.063722,1193.5514,238.85223
1.05,6.8039625,1296.7797,976.44191,64.594822,1193.529,239.58825
1.06,6.7643725,1296.8372,976.42744,64.695882,1193.5038,240.19682
1.07,6.8992925,1296.915,976.63646,64.528432,1193.4754,240.78255
1.08,7.0110725,1296.8812,976.77472,64.303492,1193.5397,241.18857
1.09,7.1374125,1296.9185,976.84649,63.574412,1193.4133,241.49684
1.1,7.0193325,1296.8694,976.72933,63.068352,1193.4331,241.6332
1.11,7.0360925,1296.8698,976.79827,62.679182,1193.525,241.62017
1.12,6.9431025,1296.9628,976.89096,62.414692,1193.6188,241.62326
1.13,6.9411525,1296.8765,977.09584,62.126012,1193.4824,241.81548
1.14,6.9848025,1296.9506,976.91004,61.748712,1193.287,241.97896
1.15,7.0432125,1296.9193,976.90141,61.645262,1193.0723,242.34187
1.16,6.9575225,1296.8973,976.87927,61.203152,1192.8477,242.9805
1.17,6.9186425,1296.865,976.95032,60.861042,1192.7661,243.4473
1.18,7.0166625,1296.9682,976.92532,60.709612,1192.8015,243.53706
1.19,6.9414125,1296.9422,976.77049,60.659172,1192.7569,243.56655
1.2,7.0013025,1296.9944,976.61961,60.649032,1192.7578,243.50046
1.21,6.9413325,1296.9893,976.37839,60.560202,1192.8267,243.35291
1.22,6.8855925,1297.0083,976.26994,60.571392,1192.9124,243.28262
1.23,6.8413425,1296.9076,976.39022,60.518442,1192.9319,243.65758
1.24,6.9269125,1296.9752,976.43683,60.551722,1192.9161,244.07237
1.25,7.0301525,1296.9806,976.51758,60.490472,1192.8325,244.64615
1.26,7.0154325,1297.0277,976.64803,60.384632,1192.7825,244.99653
1.27,6.9844125,1297.0586,976.79352,59.933482,1192.7724,245.21556
1.28,6.9278925,1296.9471,977.01664,59.909112,1192.9017,245.45246
1.29,7.0100325,1296.8554,977.26542,60.329222,1193.418,245.63386
1.3,7.0145625,1296.9142,977.14088,60.689402,1194.5396,245.85098
1.31,6.9596125,1297.0283,976.92518,61.005212,1195.9848,246.14074
1.32,6.9799525,1297.1539,976.46882,61.160092,1197.4937,246.14156
1.33,6.7991925,1297.1133,976.25187,61.257202,1198.3463,246.09403
1.34,6.7782525,1296.8961,976.58584,61.112632,1198.4211,246.15311
1.35,6.9439325,1297.5335,975.95422,61.192522,1198.264,245.1035
1.36,7.1116125,1297.3552,976.3054,60.872512,1198.0052,245.42359
1.37,7.0320125,1297.3633,976.19316,60.510252,1198.0211,245.84669
1.38,6.9397925,1297.2576,976.08561,59.960382,1198.2271,246.66156
1.39,6.8334525,1297.2079,976.07106,59.369382,1198.1343,247.35501
1.4,6.8886525,1297.2256,976.14167,58.231122,1197.8355,248.01474
1.41,7.0216825,1297.2645,976.38337,57.433492,1197.476,248.43399
1.42,7.0604325,1297.3674,976.37349,56.535562,1197.3461,248.48591
1.43,6.9681625,1297.318,976.3737,56.044172,1197.3489,248.95304
1.44,6.9165225,1297.3474,976.14023,55.305132,1197.5953,249.63843
1.45,6.9066425,1297.2747,976.22325,54.838032,1197.4223,250.86782
1.46,6.8506525,1297.1817,976.47657,53.873952,1197.0734,252.0512
