Time,postX,postY,postZ,wristX,wristY,wristZ
0.77,35.426162,1284.1219,986.74324,137.53563,1194.1998,374.82631
0.78,35.367952,1284.2094,986.65078,137.5494,1194.2484,374.72148
0.79,35.435002,1284.2017,986.66395,137.557,1194.1651,374.78799
0.8,35.387882,1284.1837,986.68411,137.5329,1194.2545,374.80073
0.81,35.366972,1284.2192,986.68474,137.54237,1194.2424,374.83037
0.82,35.355962,1284.2312,986.65894,137.51628,1194.2168,374.76318
0.83,35.384162,1284.2471,986.65057,137.55378,1194.2413,374.76961
0.84,35.358792,1284.2521,986.61853,137.55896,1194.2345,374.77167
0.85,35.343822,1284.2482,986.67754,137.51662,1194.2328,374.76043
0.86,35.384842,1284.2612,986.70331,137.5617,1194.2465,374.81176
0.87,35.369282,1284.2489,986.6762,137.49817,1194.2276,374.79283
0.88,35.375852,1284.2067,986.70938,137.55261,1194.1832,374.81958
0.89,35.349312,1284.2319,986.59704,137.56885,1194.2495,374.73478
0.9,35.384732,1284.2632,986.61941,137.52434,1194.2464,374.72969
0.91,35.400582,1284.2209,986.68337,137.53434,1194.1857,374.85546
0.92,35.347532,1284.2341,986.6547,137.54044,1194.226,374.894
0.93,35.409392,1284.2471,986.62245,137.44968,1194.1675,374.75931
0.94,35.381552,1284.2322,986.69041,137.50589,1194.1981,374.82892
0.95,35.372212,1284.1763,986.71607,137.48429,1194.1791,374.79425
0.96,35.345582,1284.2236,986.65956,137.53433,1194.2626,374.8422
0.97,35.378942,1284.2697,986.67961,137.51179,1194.2495,374.79546
0.98,35.416632,1284.2848,986.61885,137.47548,1194.2412,374.77669
0.99,35.369872,1284.1821,986.67953,137.52728,1194.2177,374.83531
1,35.374142,1284.1386,986.74809,137.57227,1194.1725,374.9093
1.01,35.338922,1284.2436,986.58442,137.52092,1194.2778,374.71758
1.02,35.367992,1284.2456,986.61794,137.50669,1194.2051,374.82046
1.03,35.379732,1284.2532,986.6704,137.55851,1194.2296,374.86995
1.04,35.345202,1284.1784,986.67625,137.48066,1194.1828,374.83904
1.05,35.383242,1284.1691,986.7623,137.55944,1194.1777,374.95128
1.06,35.371852,1284.2136,986.66642,137.56308,1194.2048,374.85552
1.07,35.376602,1284.2002,986.71079,137.55873,1194.186,374.88592
1.08,35.367642,1284.2454,986.64112,137.53782,1194.2473,374.81828
1.09,35.400172,1284.2529,986.65846,137.59945,1194.1775,374.86145
1.1,35.335782,1284.1754,986.74803,137.51116,1194.158,374.88683
1.11,35.381402,1284.2389,986.63485,137.58464,1194.1876,374.81733
1.12,35.391592,1284.1741,986.73525,137.57193,1194.1441,374.951
1.13,35.339792,1284.2496,986.64155,137.53473,1194.1499,374.82218
1.14,35.341492,1284.1846,986.66955,137.65066,1194.1637,374.92536
1.15,35.341822,1284.2131,986.67497,137.6767,1194.1967,374.86583
1.16,35.366302,1284.1851,986.64984,137.63128,1194.1596,374.86935
1.17,35.391612,1284.1389,986.74962,137.58489,1194.1501,374.92116
1.18,35.362552,1284.2378,986.68399,137.62003,1194.2156,374.86842
1.19,35.372142,1284.2157,986.65947,137.61596,1194.1846,374.83181
1.2,35.362182,1284.2036,986.69833,137.65554,1194.1459,374.84396
1.21,35.373022,1284.1863,986.6974,137.66671,1194.1546,374.86585
1.22,35.397012,1284.1558,986.72643,137.72166,1194.1627,374.90262
1.23,35.374032,1284.212,986.6392,137.66445,1194.2166,374.86102
1.24,35.335802,1284.2713,986.67312,137.60855,1194.2138,374.84844
1.25,35.384442,1284.166,986.68605,137.64497,1194.1835,374.90221
1.26,35.387872,1284.2147,986.68055,137.64408,1194.1464,374.84578
1.27,35.394072,1284.1687,986.72242,137.76318,1194.1978,374.955
1.28,35.397732,1284.2134,986.65921,137.67979,1194.1686,374.8837
1.29,35.384902,1284.2782,986.59195,137.66447,1194.1935,374.84162
1.3,35.360832,1284.2073,986.69015,137.62901,1194.2166,374.89945
1.31,35.375982,1284.2409,986.6816,137.67405,1194.2075,374.86601
