__time,/mcu/state/jointURDF/0/effort,/mcu/state/jointURDF/0/position,/mcu/state/jointURDF/0/velocity,/mcu/state/jointURDF/1/effort,/mcu/state/jointURDF/1/position,/mcu/state/jointURDF/1/velocity,/mcu/state/jointURDF/10/effort,/mcu/state/jointURDF/10/position,/mcu/state/jointURDF/10/velocity,/mcu/state/jointURDF/11/effort,/mcu/state/jointURDF/11/position,/mcu/state/jointURDF/11/velocity,/mcu/state/jointURDF/2/effort,/mcu/state/jointURDF/2/position,/mcu/state/jointURDF/2/velocity,/mcu/state/jointURDF/3/effort,/mcu/state/jointURDF/3/position,/mcu/state/jointURDF/3/velocity,/mcu/state/jointURDF/4/effort,/mcu/state/jointURDF/4/position,/mcu/state/jointURDF/4/velocity,/mcu/state/jointURDF/5/effort,/mcu/state/jointURDF/5/position,/mcu/state/jointURDF/5/velocity,/mcu/state/jointURDF/6/effort,/mcu/state/jointURDF/6/position,/mcu/state/jointURDF/6/velocity,/mcu/state/jointURDF/7/effort,/mcu/state/jointURDF/7/position,/mcu/state/jointURDF/7/velocity,/mcu/state/jointURDF/8/effort,/mcu/state/jointURDF/8/position,/mcu/state/jointURDF/8/velocity,/mcu/state/jointURDF/9/effort,/mcu/state/jointURDF/9/position,/mcu/state/jointURDF/9/velocity,/mcu/state/jointURDF/header/stamp,/mcu/state/toe_array/header/stamp,/mcu/state/toe_array/toes.0/contact,/mcu/state/toe_array/toes.0/id,/mcu/state/toe_array/toes.0/position/x,/mcu/state/toe_array/toes.0/position/y,/mcu/state/toe_array/toes.0/position/z,/mcu/state/toe_array/toes.0/sphase,/mcu/state/toe_array/toes.0/valid,/mcu/state/toe_array/toes.1/contact,/mcu/state/toe_array/toes.1/id,/mcu/state/toe_array/toes.1/position/x,/mcu/state/toe_array/toes.1/position/y,/mcu/state/toe_array/toes.1/position/z,/mcu/state/toe_array/toes.1/sphase,/mcu/state/toe_array/toes.1/valid,/mcu/state/toe_array/toes.2/contact,/mcu/state/toe_array/toes.2/id,/mcu/state/toe_array/toes.2/position/x,/mcu/state/toe_array/toes.2/position/y,/mcu/state/toe_array/toes.2/position/z,/mcu/state/toe_array/toes.2/sphase,/mcu/state/toe_array/toes.2/valid,/mcu/state/toe_array/toes.3/contact,/mcu/state/toe_array/toes.3/id,/mcu/state/toe_array/toes.3/position/x,/mcu/state/toe_array/toes.3/position/y,/mcu/state/toe_array/toes.3/position/z,/mcu/state/toe_array/toes.3/sphase,/mcu/state/toe_array/toes.3/valid
1680727730.190579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.189953,1.000000,0.000000,0.266605,0.166179,-0.503329,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248150,-0.168132,-0.508968,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.191754,-10.650000,0.731341,0.001605,18.120000,1.628285,0.000000,7.200000,0.107004,0.000000,9.800000,0.106928,-0.000000,-5.920000,0.681295,-0.000000,23.260000,1.646249,0.000000,-8.660000,0.712671,0.000000,18.750000,1.662207,-0.000000,-9.640000,0.757875,0.000000,25.220000,1.650932,-0.000000,-6.220000,-0.112163,-0.000001,-11.030000,-0.098625,-0.000000,1680727730.190402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680727730.200433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.199852,1.000000,0.000000,0.266605,0.166179,-0.503329,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248150,-0.168132,-0.508968,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.210467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.209820,1.000000,0.000000,0.266605,0.166179,-0.503329,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248150,-0.168132,-0.508968,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.220356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.219804,1.000000,0.000000,0.266605,0.166179,-0.503329,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248150,-0.168132,-0.508968,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.230326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.229831,1.000000,0.000000,0.266605,0.166179,-0.503329,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248150,-0.168132,-0.508968,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.230657,-10.340000,0.731341,0.000029,17.950000,1.628285,0.000000,6.800000,0.107004,0.000000,10.560000,0.106928,-0.000000,-5.830000,0.681295,-0.000000,23.510000,1.646249,0.000000,-8.600000,0.712671,0.000000,18.610000,1.662207,-0.000000,-9.460000,0.757875,0.000000,25.370000,1.650932,-0.000000,-6.220000,-0.112163,-0.000000,-11.030000,-0.098625,-0.000000,1680727730.230174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1680727730.240339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.239782,1.000000,0.000000,0.266605,0.166179,-0.503329,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248138,-0.168132,-0.508967,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.250620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.249959,1.000000,0.000000,0.266605,0.166179,-0.503329,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248144,-0.168132,-0.508963,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
1680727730.261339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1680727730.259968,1.000000,0.000000,0.266605,0.166179,-0.503329,0.000000,1.000000,1.000000,1.000000,-0.377983,0.172902,-0.503243,0.948457,1.000000,1.000000,2.000000,0.248132,-0.168132,-0.508961,0.957287,1.000000,1.000000,3.000000,-0.341250,-0.168193,-0.508750,0.000000,1.000000
