PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\BothDRS_Motion2_1-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7500	9	mm	100.00	1	      7500
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

20	0.190	-131.13629	19.13534	-273.42685	274.94659	18.36453	-320.73096	-73.91067	14.07861	343.89880	315.37271	18.05695	305.16446	74.49264	1211.07446	-328.09244	-22.10681	580.92407	-424.40451	137.87421	581.42578	-439.25912	63.38141	584.28333	518.01532	221.11743	580.72107	506.81964	
21	0.200	-131.09071	19.11516	-273.42996	274.85471	18.33619	-320.74078	-73.87372	14.07988	343.92929	315.35602	18.05474	305.12137	74.46503	1211.10156	-328.06689	-22.14441	580.95020	-424.39044	137.85286	581.43854	-439.27646	63.42923	584.27258	518.04681	221.09248	580.69763	506.79742	
22	0.210	-131.19264	19.13788	-273.39157	274.92401	18.36139	-320.76370	-73.87847	14.07419	343.90381	315.29767	18.01377	305.12622	74.47703	1211.06226	-328.09393	-22.10429	580.93927	-424.42206	137.90044	581.41846	-439.26056	63.41518	584.24951	518.04272	221.13509	580.64209	506.82275	
23	0.220	-131.11490	19.11323	-273.40891	274.84671	18.34270	-320.75064	-73.87623	14.07706	343.93713	315.26184	17.98003	305.11200	74.46882	1211.06433	-328.08679	-22.14113	580.94238	-424.41434	137.82829	581.46613	-439.21835	63.39400	584.24213	518.05750	221.08858	580.60724	506.82971	
24	0.230	-131.15009	19.08954	-273.39975	274.90634	18.35942	-320.75940	-73.91019	14.06368	343.93652	315.30057	18.00136	305.13354	74.46207	1211.06140	-328.09161	-22.17313	580.91565	-424.38153	137.88362	581.44171	-439.26013	63.44648	584.23413	518.02454	221.08904	580.62756	506.86865	
25	0.240	-131.15225	19.12419	-273.38831	274.86353	18.33774	-320.73935	-73.88238	14.09089	343.90652	315.32822	18.01605	305.15915	74.47981	1211.16809	-328.19897	-22.12121	580.89777	-424.39783	137.81721	581.41431	-439.26581	63.41271	584.24615	518.05060	221.10730	580.63458	506.79907	
26	0.250	-131.12083	19.13709	-273.37314	274.95618	18.37753	-320.75940	-73.88248	14.06789	343.91568	315.35104	18.02944	305.10995	74.48810	1211.06348	-328.10370	-22.16416	580.89655	-424.40497	137.87163	581.42169	-439.28796	63.40741	584.26172	518.00800	221.16621	580.65009	506.82849	
27	0.260	-131.17979	19.13309	-273.38739	274.95337	18.38119	-320.73462	-73.91009	14.09203	343.94342	315.33209	18.02320	305.15646	74.47972	1211.05615	-328.10730	-22.13451	580.94110	-424.41125	137.85603	581.40869	-439.27356	63.42068	584.25159	518.03204	221.13333	580.62677	506.85138	
28	0.270	-131.16278	19.11049	-273.40466	274.86270	18.35036	-320.76569	-73.88908	14.06780	343.95935	315.23514	17.94178	305.12903	74.46134	1211.05811	-328.08829	-22.09575	580.89917	-424.43002	137.80238	581.38995	-439.22977	63.45140	584.20764	518.03381	221.09476	580.59570	506.86304	
29	0.280	-131.22694	19.15257	-273.40689	274.94055	18.34710	-320.74918	-73.88596	14.05542	343.90884	315.27148	17.96208	305.15155	74.46170	1211.16211	-328.19662	-22.20909	580.92004	-424.40405	137.86560	581.40137	-439.27707	63.44178	584.21942	518.04608	221.07808	580.54095	506.84418	
30	0.290	-131.15620	19.10685	-273.36816	274.88379	18.34832	-320.74307	-73.88502	14.06241	343.93512	315.23505	17.95445	305.13052	74.42743	1211.16455	-328.19891	-22.16024	580.90973	-424.42789	137.84389	581.40906	-439.24896	63.44112	584.22888	518.02753	221.11057	580.64301	506.86362	
31	0.300	-131.10539	19.10435	-273.38605	274.91617	18.36384	-320.78085	-73.86328	14.03583	343.85776	315.35532	18.00578	305.14673	74.43433	1211.14331	-328.19116	-22.16217	580.89130	-424.41348	137.89326	581.38361	-439.22794	63.42479	584.22632	518.04834	221.11655	580.65509	506.82678	
32	0.310	-131.12680	19.14106	-273.38953	274.88141	18.34940	-320.77533	-73.90595	14.09473	343.88791	315.30234	18.01396	305.12286	74.42591	1211.08167	-328.06299	-22.14785	580.88159	-424.41440	137.82578	581.40076	-439.25751	63.41128	584.27142	518.03564	221.10059	580.63684	506.81366	
33	0.320	-131.18507	19.12923	-273.38364	274.94791	18.36686	-320.75073	-73.89434	14.07257	343.91489	315.26505	17.99418	305.12555	74.43382	1211.13330	-328.19962	-22.19286	580.92090	-424.38074	137.82321	581.39941	-439.23218	63.37663	584.25922	518.03693	221.07738	580.67639	506.79492	
34	0.330	-131.10863	19.15445	-273.36841	274.96100	18.40670	-320.72195	-73.86703	14.07363	343.89969	315.28436	17.99587	305.12756	74.45621	1211.13989	-328.20081	-22.18741	580.91010	-424.40945	137.76534	581.40967	-439.29608	63.39583	584.27557	518.03723	221.11092	580.60583	506.86755	
35	0.340	-131.09813	19.06231	-273.44891	274.94049	18.37681	-320.73270	-73.88956	14.06946	343.89063	315.31885	18.02547	305.14438	74.42065	1211.12634	-328.18942	-22.20954	580.95142	-424.38510	137.81689	581.37799	-439.23868	63.39800	584.27356	518.03540	221.01826	580.62122	506.84457	
36	0.350	-131.08401	19.10985	-273.41217	274.86148	18.36490	-320.74918	-73.88728	14.07565	343.90329	315.38342	18.05378	305.16910	74.41368	1211.07239	-328.06036	-22.20064	580.89490	-424.41074	137.81189	581.37115	-439.24606	63.37907	584.27448	518.03778	221.06149	580.70056	506.82999	
37	0.360	-131.05722	19.10606	-273.38651	274.86887	18.33566	-320.75458	-73.91611	14.09662	343.90475	315.36084	18.05717	305.12335	74.43015	1211.11816	-328.23120	-22.22502	580.88354	-424.38562	137.76070	581.38910	-439.26102	63.39920	584.26166	518.00696	221.04878	580.68481	506.76184	
38	0.370	-131.19579	19.16293	-273.40799	274.85706	18.36432	-320.73389	-73.89545	14.07876	343.87708	315.29150	18.01067	305.10217	74.41971	1211.06458	-328.06177	-22.16645	580.87042	-424.43286	137.72925	581.41272	-439.27444	63.34435	584.28619	518.05469	221.01749	580.69672	506.81342	
39	0.380	-131.13412	19.07738	-273.44904	274.85941	18.36100	-320.80643	-73.91942	14.06799	343.89993	315.29840	17.99898	305.12946	74.41933	1211.13062	-328.18527	-22.22312	580.88007	-424.38898	137.76198	581.37048	-439.23660	63.39785	584.27448	518.01178	220.99783	580.67755	506.79803	
40	0.390	-131.25734	19.18866	-273.38528	274.88358	18.36620	-320.73041	-73.90812	14.09883	343.87827	315.26541	17.98137	305.10477	74.36478	1211.13867	-328.19717	-22.24069	580.88239	-424.37454	137.73640	581.34344	-439.19867	63.35036	584.27020	518.05023	220.99826	580.69537	506.82184	
41	0.400	-131.16930	19.11202	-273.43561	274.90939	18.36280	-320.76880	-73.87541	14.06538	343.89890	315.31699	18.00577	305.12372	74.42336	1211.29456	-328.21158	-22.25876	580.91760	-424.38138	137.67693	581.33801	-439.23392	63.38764	584.24274	518.01178	221.07860	580.69653	506.76315	
42	0.410	-131.14090	19.13146	-273.39322	274.86734	18.37025	-320.77267	-73.91329	14.08011	343.91003	315.33408	18.02853	305.16647	74.35390	1211.10815	-328.20328	-22.21749	580.87054	-424.39166	137.76399	581.25623	-439.28085	63.35870	584.27185	518.03247	221.05084	580.68707	506.79758	
43	0.420	-131.11633	19.09389	-273.40659	274.94431	18.37700	-320.75986	-73.88142	14.03916	343.91721	315.29306	17.99229	305.13251	74.34746	1211.10596	-328.20789	-22.30157	580.84546	-424.41486	137.76079	581.29620	-439.25003	63.35265	584.27216	518.03540	221.03023	580.71100	506.81351	
44	0.430	-131.11143	19.11336	-273.41153	274.87973	18.36469	-320.74545	-73.85597	14.02282	343.91177	315.31638	17.99079	305.13422	74.34863	1211.09070	-328.21509	-22.30279	580.86926	-424.40332	137.68874	581.29242	-439.22488	63.33696	584.26093	518.05640	220.99153	580.62024	506.85782	
45	0.440	-131.18677	19.16508	-273.36276	274.85068	18.36139	-320.78690	-73.86518	14.03369	343.93863	315.26779	17.96384	305.12921	74.33284	1211.08484	-328.24042	-22.28755	580.83478	-424.37433	137.65636	581.29767	-439.21643	63.37961	584.26215	518.04456	221.02515	580.70221	506.76834	
46	0.450	-131.12550	19.07667	-273.38971	274.90100	18.36520	-320.75888	-73.91379	14.06221	343.89630	315.27005	17.95966	305.14276	74.32129	1211.23865	-328.28177	-22.34772	580.84680	-424.37085	137.77711	581.21716	-439.29776	63.31026	584.27899	518.05048	220.93675	580.69324	506.80493	
47	0.460	-131.13069	19.07646	-273.41922	274.85028	18.34267	-320.76544	-73.86305	14.04371	343.90942	315.32794	18.02573	305.13651	74.28058	1211.04883	-328.30328	-22.34691	580.77740	-424.41989	137.73082	581.18146	-439.28140	63.33445	584.27612	518.02631	220.96602	580.71948	506.78979	
