PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\BothDRS_Motion1_6-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      7500	9	mm	100.00	1	      7500
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

20	0.190	-203.53993	19.72199	-221.76857	206.52748	18.56538	-291.22342	-111.71307	13.51611	370.76828	287.06122	19.14393	349.19592	6.66765	1209.91284	-289.40750	-95.89211	579.68549	-380.55453	62.80042	579.67627	-402.95010	32.38695	583.78711	556.94409	185.94679	577.54309	535.21832	
21	0.200	-203.45554	19.64048	-221.77206	206.51073	18.57116	-291.20767	-111.82481	13.22522	370.64502	287.18649	19.17071	349.24365	6.62192	1209.89966	-289.40668	-95.91264	579.67401	-380.56061	62.90034	579.67914	-402.97006	32.39268	583.79755	556.93530	185.84299	577.06720	534.35120	
22	0.210	-203.47339	19.66518	-221.75603	206.52292	18.54425	-291.23074	-111.70000	13.48033	370.74603	287.15567	19.14436	349.23383	6.58434	1209.89758	-289.39276	-95.87812	579.68329	-380.54175	62.84660	579.69354	-402.95911	32.37099	583.79871	556.91724	185.84845	577.07971	534.34802	
23	0.220	-203.52238	19.72887	-221.76340	206.56471	18.56043	-291.20673	-111.68745	13.52312	370.76569	287.23816	19.18190	349.23730	6.69284	1209.91748	-289.39893	-95.93367	579.69812	-380.55344	62.93866	579.68573	-402.91089	32.44212	583.78210	556.93652	185.85916	577.07477	534.35889	
24	0.230	-203.51443	19.74470	-221.74048	206.55803	18.57619	-291.20422	-111.71715	13.51799	370.75519	287.20306	19.18079	349.25485	6.68060	1209.89514	-289.38638	-95.91243	579.65967	-380.56107	62.86502	579.65497	-402.98166	32.37195	583.83087	556.91211	185.87675	577.07733	534.39111	
25	0.240	-203.48686	19.67777	-221.72734	206.52867	18.56306	-291.22128	-111.67272	13.48418	370.76285	287.21475	19.16055	349.23114	6.68861	1209.89099	-289.38632	-95.90813	579.67352	-380.55847	62.88713	579.65356	-402.97900	32.37769	583.79462	556.93268	185.85490	577.07336	534.36694	
26	0.250	-203.44048	19.64853	-221.73059	206.53902	18.57914	-291.20416	-111.64202	13.47069	370.81287	287.10880	19.11391	349.22287	6.64456	1209.90491	-289.38141	-95.90169	579.67615	-380.56064	62.92900	579.65497	-402.93195	32.35549	583.81360	556.92676	185.88734	577.06177	534.38745	
27	0.260	-203.45895	19.61239	-221.74940	206.53397	18.55775	-291.19696	-111.81125	13.16634	370.65683	287.11829	19.09445	349.21820	6.68520	1209.88733	-289.40488	-95.90103	579.67438	-380.55707	62.94688	579.67395	-402.94983	32.39015	583.79016	556.93597	185.96393	577.53711	535.18878	
28	0.270	-203.47641	19.66102	-221.72543	206.51373	18.55301	-291.20059	-111.74982	13.17066	370.67279	287.11069	19.11575	349.23849	6.64458	1209.89270	-289.39673	-95.90300	579.64905	-380.54697	62.85257	579.63806	-402.96899	32.42173	583.78705	556.94275	185.96381	577.52350	535.20825	
29	0.280	-203.46808	19.71130	-221.79596	206.48517	18.55117	-291.21512	-111.76150	13.15075	370.64975	287.32227	19.19157	349.27655	6.66877	1209.89502	-289.39124	-95.87667	579.64313	-380.56332	62.87509	579.66827	-402.93100	32.41748	583.79132	556.94781	185.86566	577.03918	534.38220	
