PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustBodyDRS_Motion2_4-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      6921	9	mm	100.00	1	      6921
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

1	0.000	-173.76201	19.95768	-175.17932	223.09645	17.40072	-261.13342	-65.95757	15.91713	413.85156	342.50845	18.80228	376.76154	-95.07185	1214.41772	-333.02194	-68.43193	582.33527	-329.67352	88.98370	582.34509	-360.15424	107.14368	584.35999	600.06018	260.63556	578.06122	571.25397	
2	0.010	-173.71535	19.92578	-175.15788	223.12306	17.40658	-261.13309	-65.85139	15.87290	413.82758	342.61261	18.83729	376.80820	-95.04485	1214.38550	-332.96979	-68.46212	582.31921	-329.66855	88.96946	582.33197	-360.17490	107.14811	584.35052	600.06897	260.60611	577.97174	571.05835	
3	0.020	-173.68716	19.87999	-175.14795	223.07948	17.40857	-261.13000	-65.88686	15.85950	413.82425	342.47089	18.74632	376.77722	-95.11944	1214.35779	-332.95389	-68.50191	582.34192	-329.71161	88.96958	582.35724	-360.15836	107.11549	584.35938	600.06268	260.56763	577.96887	571.09375	
4	0.030	-173.78749	19.95274	-175.16499	223.13083	17.38838	-261.12869	-65.89165	15.85897	413.81735	342.44254	18.72614	376.79257	-95.08306	1214.37708	-332.92352	-68.45297	582.30731	-329.71469	88.99199	582.33887	-360.13693	107.12178	584.34259	600.09100	260.58197	577.96643	571.07965	
5	0.040	-173.73759	19.95923	-175.14645	223.12143	17.41900	-261.13721	-65.98778	15.96390	413.86920	342.50888	18.77829	376.79990	-95.11972	1214.40833	-332.97437	-68.46017	582.32428	-329.68701	88.98487	582.29156	-360.17371	107.12689	584.36108	600.06903	260.58530	577.98962	571.08020	
6	0.050	-173.70441	19.91736	-175.18665	223.15501	17.40107	-261.11511	-65.87513	15.84013	413.83566	342.56821	18.80908	376.80460	-95.13937	1214.40649	-333.00345	-68.49073	582.34149	-329.70212	88.99760	582.36078	-360.18616	107.14077	584.34747	600.08051	260.62997	578.06061	571.28967	
7	0.060	-173.73961	19.94149	-175.15404	223.15309	17.42569	-261.11310	-65.96658	15.92040	413.85013	342.51819	18.83193	376.79752	-95.16526	1214.38049	-332.97534	-68.45933	582.30481	-329.66751	88.94318	582.39661	-360.17203	107.09798	584.35529	600.07996	260.56219	577.96106	571.07068	
8	0.070	-173.67796	19.87282	-175.18495	223.12946	17.37780	-261.16043	-65.89388	15.90223	413.83142	342.61389	18.82395	376.80536	-95.17425	1214.35132	-333.02811	-68.50198	582.32715	-329.69287	88.95198	582.35187	-360.17020	107.12646	584.37494	600.05731	260.58929	577.98773	571.07898	
9	0.080	-173.68643	19.88374	-175.09879	223.09349	17.42811	-261.12943	-65.94367	15.89019	413.84940	342.44882	18.76929	376.77383	-95.19098	1214.34851	-332.95157	-68.46732	582.29639	-329.65305	88.98538	582.34747	-360.13495	107.12999	584.35736	600.07813	260.57321	578.04163	571.24335	
10	0.090	-173.72690	19.92579	-175.14102	223.11226	17.40112	-261.12915	-65.93918	15.86546	413.82669	342.43066	18.76173	376.76984	-95.19423	1214.38855	-332.97369	-68.48241	582.30396	-329.65955	88.97639	582.31982	-360.14389	107.10603	584.33221	600.07867	260.57779	577.95813	571.04077	
11	0.100	-173.75497	19.88632	-175.11914	223.13365	17.41461	-261.13080	-65.95065	15.87617	413.83994	342.50427	18.80939	376.79065	-95.23656	1214.40784	-333.01157	-68.50981	582.32080	-329.67477	89.51964	582.48492	-360.38873	107.10377	584.35419	600.08130	260.59497	577.99713	571.08759	
12	0.110	-173.77095	19.98364	-175.15454	223.11324	17.42000	-261.13989	-65.88450	15.90644	413.86084	342.59497	18.86322	376.81339	-95.33733	1214.39697	-333.08710	-68.53547	582.33856	-329.68408	88.92020	582.33539	-360.15518	107.10117	584.35596	600.08643	260.60452	578.06592	571.24164	
13	0.120	-173.70419	19.89907	-175.09030	223.13921	17.43460	-261.14297	-65.91264	15.85141	413.81992	342.56827	18.83399	376.78738	-95.30139	1214.40601	-333.04559	-68.49722	582.32568	-329.68030	88.92178	582.33997	-360.15863	107.08295	584.36926	600.08356	260.57959	577.98743	571.10956	
14	0.130	-173.76471	19.87678	-175.16325	223.14409	17.43830	-261.10916	-65.91584	15.84452	413.82339	342.46829	18.78606	376.75711	-95.30598	1214.37292	-332.97101	-68.53053	582.34509	-329.67780	89.51188	582.49738	-360.37982	107.11046	584.35907	600.07648	260.60645	578.07312	571.23138	
15	0.140	-173.71266	19.88755	-175.13480	223.10803	17.40871	-261.12476	-65.89738	15.84525	413.84775	342.46884	18.80685	376.78235	-95.36308	1214.39026	-333.04495	-68.57360	582.36279	-329.67902	89.47646	582.46802	-360.38287	107.06003	584.36523	600.07483	260.56226	578.05066	571.24487	
