PathFileType	4	(X/Y/Z)	D:\TRACE\v60_Jaco2_6-2-23\JustBodyDRS_Motion1_8-v60.trc
DataRate	CameraRate	NumFrames	NumMarkers	Units	OrigDataRate	OrigDataStartFrame	OrigNumFrames
100.00	100.00	      6712	9	mm	100.00	1	      6712
Frame#	Time	front left toe			Front right toe			aft left toe			aft right toe			Arm			FL body			FR body			AL Body			AR Body			
		X1	Y1	Z1	X2	Y2	Z2	X3	Y3	Z3	X4	Y4	Z4	X5	Y5	Z5	X6	Y6	Z6	X7	Y7	Z7	X8	Y8	Z8	X9	Y9	Z9	

19	0.180	-211.23882	19.47170	-207.48579	185.45247	17.85552	-255.08076	-171.75700	17.29785	388.08545	243.40668	19.53707	392.83359	-128.65979	1214.00891	-362.54797	-102.02522	582.21759	-354.81110	57.94333	582.15485	-368.94138	-20.24730	586.12885	588.06140	134.36124	579.97437	574.43152	
20	0.190	-211.25171	19.49420	-207.49461	185.37880	17.83475	-255.08115	-171.74680	17.29241	388.07565	243.33624	19.52574	392.83286	-128.68527	1213.99280	-362.55829	-102.01421	582.17230	-354.82846	57.91955	582.15570	-368.96039	-20.24604	586.14166	588.08246	134.32417	579.97150	574.43695	
21	0.200	-211.27650	19.51208	-207.47031	185.37526	17.81956	-255.08508	-171.73170	17.25996	388.08789	243.41472	19.54770	392.81940	-128.68947	1214.00012	-362.56967	-102.02224	582.19794	-354.83432	57.96553	582.12433	-368.93781	-20.25383	586.16278	588.07550	134.36160	580.00049	574.42255	
22	0.210	-211.29079	19.51297	-207.48895	185.40469	17.82631	-255.07721	-171.74942	17.27469	388.09122	243.34593	19.52442	392.80276	-128.70367	1214.00037	-362.61121	-102.02579	582.23608	-354.81369	57.99608	582.16040	-368.91553	-20.25447	586.15125	588.09631	134.29897	579.96869	574.41589	
23	0.220	-211.27652	19.49302	-207.46101	185.40697	17.83325	-255.09578	-171.78267	17.30996	388.06213	243.37790	19.53824	392.82547	-128.71245	1214.01221	-362.58917	-101.99628	582.18719	-354.82272	58.01366	582.14221	-368.93298	-20.25474	586.13788	588.08423	134.30263	579.98480	574.42822	
24	0.230	-211.25566	19.50518	-207.47192	185.41147	17.84205	-255.07692	-171.80128	17.34269	388.10178	243.38443	19.54232	392.81705	-128.73088	1214.02234	-362.60974	-102.03639	582.22632	-354.80719	57.91954	582.12726	-368.91440	-20.22266	586.12476	588.10834	134.31741	579.99780	574.42633	
25	0.240	-211.30511	19.49417	-207.50885	185.41570	17.81013	-255.06531	-171.73856	17.28135	388.06119	243.39006	19.59453	392.82776	-128.68088	1213.99170	-362.52982	-102.01557	582.17279	-354.84692	57.94680	582.13586	-368.89740	-20.25492	586.16632	588.07001	134.28961	579.98517	574.39984	
26	0.250	-211.23160	19.46473	-207.48528	185.41554	17.83094	-255.06160	-171.74582	17.28198	388.05603	243.37169	19.55452	392.81348	-128.70381	1214.01294	-362.58319	-102.02155	582.19775	-354.81982	57.94106	582.15118	-368.92801	-20.22913	586.15289	588.06671	134.31883	579.97467	574.42181	
27	0.260	-211.24298	19.47348	-207.49538	185.41734	17.80548	-255.06914	-171.79149	17.30892	388.04788	243.40042	19.56416	392.83569	-128.67950	1214.00891	-362.54080	-102.00500	582.19928	-354.81754	57.95582	582.15466	-368.94525	-20.23183	586.13922	588.08936	134.36586	579.99219	574.42114	
28	0.270	-211.26694	19.48949	-207.46536	185.39079	17.81619	-255.06560	-171.76686	17.33529	388.10315	243.39232	19.57160	392.84457	-128.72476	1214.01855	-362.61462	-102.01145	582.20355	-354.81082	57.94965	582.16193	-368.95148	-20.23237	586.18097	588.06952	134.30103	579.97131	574.42529	
29	0.280	-211.26247	19.50785	-207.43057	185.38194	17.83402	-255.09801	-171.75439	17.28611	388.08609	243.35936	19.52592	392.81531	-128.70833	1214.00391	-362.58258	-102.01467	582.20972	-354.81296	57.98580	582.17834	-368.89990	-20.27602	586.14294	588.07623	134.30214	579.96936	574.43304	
30	0.290	-211.26112	19.49387	-207.49832	185.43111	17.86932	-255.06616	-171.72968	17.29477	388.09900	243.43587	19.58721	392.87225	-128.70802	1213.97876	-362.58365	-102.02422	582.24982	-354.81226	57.96629	582.15442	-368.91397	-20.25546	586.15857	588.08972	134.28816	579.99011	574.43433	
31	0.300	-211.24484	19.46288	-207.50418	185.38492	17.83127	-255.06042	-171.74944	17.23671	388.09274	243.35129	19.56546	392.84784	-128.72900	1214.00378	-362.62491	-102.04120	582.24182	-354.83340	57.98732	582.14539	-368.90335	-20.28847	586.14856	588.07843	134.28026	579.97382	574.44318	
32	0.310	-211.24374	19.47848	-207.50438	185.37923	17.83501	-255.06572	-171.74022	17.28542	388.07816	243.39381	19.56749	392.87036	-128.67014	1214.00806	-362.55719	-102.00447	582.16956	-354.81577	57.89531	582.16937	-368.95734	-20.26890	586.15515	588.05774	134.30637	579.98682	574.42035	
33	0.320	-211.26717	19.48771	-207.48277	185.44801	17.80753	-255.08371	-171.72807	17.29171	388.08261	243.37408	19.51502	392.81186	-128.68100	1213.99854	-362.60303	-102.00896	582.20868	-354.81622	57.94279	582.14624	-368.94867	-20.25886	586.16132	588.06842	134.29402	579.99615	574.41974	
34	0.330	-211.28152	19.50586	-207.47774	185.43785	17.86283	-255.07709	-171.71964	17.27332	388.09067	243.41838	19.56117	392.84433	-128.73140	1214.00671	-362.58124	-102.00995	582.18524	-354.83676	57.99918	582.17242	-368.89371	-20.20229	586.18359	588.09906	134.29803	579.97638	574.43060	
35	0.340	-211.26720	19.49487	-207.50461	185.43146	17.82707	-255.09399	-171.74309	17.27409	388.08286	243.38998	19.56702	392.85428	-128.70068	1214.01123	-362.56870	-102.00848	582.22333	-354.83997	57.97573	582.14337	-368.91501	-20.25083	586.16266	588.08795	134.26781	579.96149	574.41272	
36	0.350	-211.31998	19.48414	-207.50281	185.41795	17.81691	-255.08496	-171.72754	17.26103	388.09485	243.38409	19.51843	392.83389	-128.69766	1213.99390	-362.56314	-102.02435	582.21521	-354.80869	57.93524	582.13452	-368.92291	-20.25619	586.16205	588.07471	134.32655	579.97064	574.41705	
37	0.360	-211.23657	19.49413	-207.46051	185.43036	17.82776	-255.06473	-171.75168	17.23536	388.09924	243.35194	19.52481	392.82208	-128.73854	1214.01514	-362.61612	-102.00375	582.20618	-354.81360	58.01666	582.15106	-368.91299	-20.25637	586.15979	588.09045	134.25536	579.97040	574.44617	
38	0.370	-211.24229	19.47434	-207.43639	185.40907	17.81857	-255.04193	-171.76169	17.26510	388.05917	243.34360	19.52735	392.84354	-128.73164	1214.01892	-362.59317	-101.98295	582.19116	-354.81403	57.93725	582.16449	-368.93753	-20.25804	586.15564	588.07837	134.30522	580.00629	574.40674	
39	0.380	-211.25562	19.47992	-207.47562	185.43103	17.83862	-255.07401	-171.79474	17.30424	388.07047	243.34625	19.55740	392.81851	-128.72156	1214.01892	-362.57028	-101.99892	582.21967	-354.82349	57.98237	582.14117	-368.91772	-20.28942	586.15729	588.09912	134.27046	579.98761	574.40558	
40	0.390	-211.28732	19.48784	-207.48650	185.42293	17.84681	-255.07817	-171.73587	17.28628	388.07462	243.38992	19.55676	392.83163	-128.73648	1213.99438	-362.60721	-102.04581	582.22437	-354.82230	57.99281	582.13904	-368.90723	-20.27109	586.13892	588.08521	134.31943	580.00092	574.41693	
41	0.400	-211.25398	19.51383	-207.50014	185.45934	17.83669	-255.05067	-171.79001	17.27582	388.07993	243.35294	19.54163	392.81595	-128.73337	1214.00781	-362.61063	-102.02038	582.19592	-354.83264	58.01905	582.14093	-368.88626	-20.25572	586.13983	588.09967	134.28517	579.96564	574.40546	
42	0.410	-211.26721	19.51868	-207.47331	185.46123	17.82521	-255.05826	-171.71214	17.30113	388.07837	243.32042	19.54631	392.82425	-128.73407	1214.00720	-362.62292	-102.02044	582.22345	-354.79468	57.93154	582.13123	-368.94339	-20.23789	586.16663	588.10840	134.32794	579.99744	574.41400	
43	0.420	-211.25252	19.48208	-207.48730	185.49950	17.84799	-255.06068	-171.72679	17.28228	388.10840	243.40138	19.55523	392.84003	-128.74170	1214.03967	-362.60580	-102.03814	582.22528	-354.82803	57.96498	582.12860	-368.94128	-20.22295	586.14557	588.10510	134.32100	580.00934	574.43622	
44	0.430	-211.26878	19.49965	-207.45949	185.50754	17.81717	-255.04646	-171.72556	17.27916	388.08496	243.45079	19.56708	392.84467	-128.73996	1214.04175	-362.58026	-102.00411	582.18457	-354.83521	57.96829	582.13068	-368.90622	-20.28775	586.14490	588.11249	134.28020	580.01318	574.43127	
45	0.440	-211.31065	19.52005	-207.47972	185.48141	17.80634	-255.06721	-171.76064	17.33002	388.04202	243.44017	19.56658	392.85641	-128.69128	1214.01013	-362.59677	-102.04489	582.19531	-354.81641	57.96544	582.14600	-368.93365	-20.27681	586.14917	588.09399	134.32098	579.97644	574.41138	
46	0.450	-211.25102	19.50809	-207.46683	185.48566	17.84215	-255.08165	-171.78662	17.29740	388.08371	243.35829	19.55856	392.81552	-128.73323	1213.99866	-362.59058	-102.01173	582.18268	-354.81784	57.89637	582.17859	-368.93579	-20.26191	586.15302	588.09277	134.28738	579.99768	574.45068	
47	0.460	-211.29007	19.49740	-207.50084	185.49438	17.81734	-255.05742	-171.74548	17.27024	388.10519	243.38516	19.55215	392.83441	-128.71365	1214.00879	-362.60764	-102.01945	582.21899	-354.80899	57.96601	582.14398	-368.95071	-20.27112	586.14038	588.09851	134.29071	579.97321	574.42505	
48	0.470	-211.25745	19.49508	-207.48973	185.49092	17.84523	-255.06796	-171.77582	17.24675	388.06805	243.37770	19.54923	392.83969	-128.73077	1214.00342	-362.58368	-102.05844	582.23187	-354.82416	57.88564	582.14502	-368.94089	-20.26186	586.13257	588.12085	134.28842	579.96741	574.41547	
49	0.480	-211.27293	19.53886	-207.46454	185.45053	17.82093	-255.06685	-171.76479	17.28201	388.12250	243.37935	19.52319	392.80667	-128.72809	1213.99377	-362.63391	-102.03392	582.21246	-354.81616	57.97808	582.15076	-368.94769	-20.25677	586.14661	588.09521	134.26540	579.97937	574.42010	
50	0.490	-211.22801	19.48443	-207.46906	185.49033	17.83854	-255.05251	-171.77742	17.28872	388.09909	243.37032	19.53756	392.81686	-128.73572	1214.02173	-362.58643	-102.05315	582.20453	-354.79706	57.93314	582.14514	-368.95078	-20.26283	586.14874	588.09088	134.30963	579.98175	574.41406	
51	0.500	-211.25342	19.47211	-207.49139	185.42860	17.82389	-255.05862	-171.72942	17.26805	388.09174	243.38144	19.53526	392.85858	-128.70219	1213.99792	-362.57596	-101.99218	582.23584	-354.79892	57.94846	582.13654	-368.95975	-20.25843	586.14972	588.10419	134.28819	579.98474	574.43323	
52	0.510	-211.27258	19.49114	-207.51709	185.45015	17.81719	-255.06885	-171.76521	17.30686	388.08759	243.34186	19.55692	392.83774	-128.76817	1214.01843	-362.60739	-102.04469	582.19897	-354.82150	57.92870	582.13513	-368.92117	-20.29294	586.14764	588.10510	134.28545	579.96814	574.42206	
53	0.520	-211.26456	19.50754	-207.46477	185.47095	17.82732	-255.04739	-171.76627	17.23318	388.10910	243.42975	19.54649	392.84097	-128.74791	1213.99939	-362.61411	-102.03658	582.20294	-354.80157	58.03738	582.15131	-368.87198	-20.24349	586.14563	588.08167	134.28549	579.96509	574.41724	
